title,abstract,authors,figures,pages,tables,pdf_link,primary_subject,secondary_subjects,submitted_journal,published_journal,keywords,date,comments,journals,num_checks,affiliations,total_citations,non_self_citations,journal_flag
A Correlation Between Black Hole Mass and Dark Matter Halo Concentration in Cosmological Simulations,"We report the discovery of a positive correlation between supermassive black hole mass and dark matter halo concentration at fixed halo mass in cosmological hydrodynamical simulations. Analyzing central galaxies in TNG100 (N = 18,954), EAGLE (N = 1,522), and CAMELS-TNG (N = 6,664), we find partial correlation coefficients of r = +0.24, +0.34, and +0.66 respectively, all highly significant (p < 10^-10). The correlation is absent in SIMBA (r = +0.01, p = 0.09), which employs a torque-limited black hole accretion model rather than the Bondi-based prescription used by the other simulations. Both TNG and EAGLE exhibit a mass-dependent sign transition: the correlation is negative or null at log(M200/Msun) < 11.5 but strongly positive at higher masses. We interpret this pattern as reflecting the coupling between Bondi accretion rates and central gas density structure: halos with higher concentration have denser cores, enabling more efficient black hole growth at fixed halo mass. The absence of the correlation in torque-limited models supports this interpretation. These results suggest that halo concentration may be a fundamental parameter governing black hole-galaxy coevolution.",['John K. Nino'],1.0,12.0,2.0,arxiv.org/pdf/2512.17964,Astrophysics of Galaxies,['Cosmology and Nongalactic Astrophysics'],,,and total stellar mass—has been established for over 1arXiv:2512 bulge mass black hole physics — dark matter halos — galaxies: evolution — methods: numerical ,2025-12-23,"6 pages, 1 figure, 2 tables. v2: Corrected Li et al. (2024) citation. Added sample selection note. Added acknowledgment",,0,[None],0,0,0
CoBiTS: Single-detector discrimination of binary black hole signals from glitches using deep learning,"We develop a Conformer neural network, called Conformer Binary neTwork Search, or CoBiTS, for distinguishing binary black hole (BBH) gravitational wave (GW) signals from non-Gaussian and non-stationary noise artifacts in the data from current generation LIGO-Virgo-KAGRA detectors. A large subset of these transient noise artifacts, termed as ``glitches'' for short, trigger BBH search templates. Some of them go on to produce detection candidates and require human vetting, supported by data quality tools, to be correctly identified and vetoed. In its current version, CoBiTS takes as inputs single-detector strain timeseries snippets, claimed by other search pipelines to be containing GW candidates, and outputs the significance of each snippet to contain a BBH signal and a glitch. CoBiTS is shown to be particularly effective in discriminating high-mass BBH signals from blips and scattered light glitches, even when a signal is near concurrent or overlapping with a glitch. The performance of CoBiTS gains from employing Conformer, which is a specialized model that combines convolutional layers and Transformer architecture for sequence modeling tasks. Conformer is especially good at leveraging the strengths of both convolutional layers -- for local feature extraction -- and self-attention layers -- for capturing long-range dependencies.","['Matthew VanDyke', 'Kexuan Wu', 'Sukanta Bose']",13.0,22.0,0.0,arxiv.org/pdf/2512.17975,Instrumentation and Methods for Astrophysics,"['High Energy Astrophysical Phenomena', 'General Relativity and Quantum Cosmology']",,,[],2025-12-23,"22 pages, 13 figures",,0,"[None, None, None]",0,0,0
"Bridging stellar evolution and planet formation: from birth, to survivors of the fittest, to the second generation of planets","Stars and planets form, live, and evolve in unison. Throughout the life of a star, dusty circumstellar discs and stellar outflows influence the further evolution of both the star(s) and their orbiting planet(s). Planet-forming discs, winds of red giant branch (RGB) or asymptotic giant branch (AGB) stars, and post-RGB/post-AGB discs are examples of such host environments where dust physics plays a key role. The physical processes that occur during each of these stages establishes how the Solar System as well as exoplanetary systems were formed, are evolving, and will eventually die. This White Paper aims to bridge the fields of stellar evolution and planet formation by peering into the dust kinematics and macrostructure formation, and its effect on planet-host interaction, in dusty environments from stellar birth to death. Near-future advancements in the 2030s will enable the detection, orbital monitoring and atmospheric/mineralogical characterisation of close-in (proto)planets across diverse stages of stellar evolution. To take full advantage of these developments by the 2040s, we should develop the capabilities required to image the varied dusty environments in which planets are entrained over their lifetime. This will enable extensive testing of current theoretical understandings - from the micro-scales of dust assembly to the deeply interlinked macro-scales of planet-host interactions - across diverse settings often too small, distant, and faint to be resolved in the next decade, simultaneously providing valuable constraints on the two-way interplay of dusty host environments and planetary formation/evolution.","['Akke Corporaal', 'Toon De Prins', 'Léa Planquart', 'Kateryna Andrych', 'Narsireddy Anugu', 'Devika Kamath', 'Jens Kammerer', 'Stefan Kraus', 'Fonteini Lykou', 'Alexis Matter', 'Claudia Paladini', 'Marie M. Rodríguez S.', 'Hans Van Winckel']",0.0,4.0,0.0,arxiv.org/pdf/2512.17976,Instrumentation and Methods for Astrophysics,"['Earth and Planetary Astrophysics', 'Solar and Stellar Astrophysics']",,,[],2025-12-23,Science white paper submitted in the context of ESO's Expanding Horizons call,,0,"[None, None, None, None, None, None, None, None, None, None, None, None, None]",0,0,0
Diffusive or Ballistic? Distributions and Spectra of PeV Cosmic Rays around Microquasars,"In the standard Galactic cosmic-ray (CR) paradigm, protons are accelerated up to ~1 PeV by Galactic sources. While supernova remnants (SNRs) have been traditionally considered as the primary accelerators, recent observations by LHAASO and HAWC have detected very-high-energy (VHE) gamma rays exceeding 100 TeV from several microquasars, suggesting that these X-ray binaries can accelerate CRs beyond 1 PeV. We investigate the escape process of CRs from microquasars, focusing on the energy-dependent transport mechanisms. High-energy CRs are likely to have long mean free paths and move ballistically on scales smaller than their mean free path, while lower-energy CRs undergo diffusive propagation. This transition results in a spectral break in the CR distribution around the microquasar. We calculate CR energy spectra within a 10-30 pc radius for various diffusion coefficients and timescales. Our model predicts a spectral break and hardening at E_p ~10-100 TeV when the standard diffusion coefficient for the interstellar space is assumed. However, current VHE gamma-ray observations do not show clear spectral breaks, suggesting that the diffusion coefficient may be significantly reduced near microquasars, possibly due to magnetic field amplification by CR-driven turbulence.","['Yutaka Fujita', 'Rohta Takahashi', 'Norita Kawanaka']",3.0,6.0,0.0,arxiv.org/pdf/2512.17994,High Energy Astrophysical Phenomena,,,,['High energy astrophysics (739) — Cosmic rays (329) — X-ray binary stars (1811) — Interstellar medium (847) 1'],2025-12-23,"6 pages, 3 figures",,0,"[None, None, None]",0,0,0
Pulsational Instability of Quasi-Stars: Interpreting the Variability of Little Red Dots,"The JWST discovery of ""Little Red Dots"" (LRDs) has revealed a population of compact, red sources at $z \sim 5-10$ that likely host supermassive black holes (SMBHs). Recent observations of the gravitationally lensed LRD R2211-RX1 reveal century-scale photometric variability and a hysteresis loop in the luminosity-temperature plane, strongly suggesting that the optical emission originates from a pulsating, stellar-like photosphere rather than an accretion disk. This supports the ""quasi-star"" hypothesis, where a rapidly growing black hole seed is embedded within a massive, radiation-pressure supported envelope. In this work, we investigate the stability of these envelopes using the stellar evolution code MESA coupled with the non-adiabatic oscillation code GYRE. We identify a theoretical ""Quasi-Star Instability Strip"" with a blue edge at $T_{\mathrm{eff}} \approx 5000-5200$ K. Models hotter than this threshold are stable, consistent with the non-variable LRD R2211-RX2 ($T_{\mathrm{eff}} \approx 5000$ K), while cooler models are unstable to radial pulsations driven by the $\kappa$-mechanism in helium and hydrogen ionization zones. For quasi-star masses in the range $M_\star \sim 10^4-10^5 M_\odot$, we find that the unstable fundamental radial modes ($\ell =0$, n$_{\rm p}=1$) have periods in the range $\sim 20-180$ years. The first overtone ($\ell =0$, n$_{\rm p}=2$) is also unstable or marginally stable in some of our models, with typical pulsation timescales $\sim 10-30$ years. These oscillations match the co-moving frame variability timescale of RX1. We argue that these violent pulsations likely drive enhanced mass loss analogous to super-AGB winds, which could affect the duration of the quasi-star phase and regulate the final mass of the seeded black hole.","['Matteo Cantiello', 'Jake B. Hassan', 'Rosalba Perna', 'Philip J. Armitage', 'Mitchell C. Begelman', 'Yan-Fei Jiang', 'Taeho Ryu', 'Richard H. D. Townsend']",6.0,11.0,0.0,arxiv.org/pdf/2512.17997,High Energy Astrophysical Phenomena,"['Astrophysics of Galaxies', 'Solar and Stellar Astrophysics']",,,['Early Universe — Supermassive black holes — Stellar oscillations — Stellar mass loss — Quasars: supermassive black holes 1'],2025-12-23,"11 pages, 6 figures, submitted to ApJL",,0,"[None, None, None, None, None, None, None, None]",0,0,0
First-Principles Formalism for Simulating Self-Interacting Dark Matter,"It is plausible that the dark matter particles have non-gravitational interactions among themselves. If such self interactions are large enough, they could leave an imprint on the morphology of galaxies. These effects can be studied with numerical simulations, which serve as the primary tool to predict the non-linear evolution of galactic structure. A standard assumption is that the course-grained phase-space distribution of the macroscopic simulation particles follows the same evolution equation as that of the fundamental dark matter particles. This Letter tests this assumption directly for the case of frequent dark matter scatterings, demonstrating that this is not generically true. Specifically, we develop a first-principles map from a microscopic particle physics description of self-interacting dark matter to a representation of macroscopic simulation particles for theories in the short-mean-free-path regime. Using this procedure, we show the emergence of an effective force between the simulation particles and derive their interaction cross section, which depends on the one from fundamental particle physics. This work provides the first explicit map from particle physics to simulation, which will facilitate exploring the phenomenological implications for galactic dynamics.","['Maria Ramos', 'Timothy Cohen', 'Mariangela Lisanti']",3.0,6.0,0.0,arxiv.org/pdf/2512.17998,Astrophysics of Galaxies,"['Cosmology and Nongalactic Astrophysics', 'High Energy Physics - Phenomenology']",,,[],2025-12-23,"6 pages, 3 figures, 2 appendices",,0,"[None, None, None]",0,0,0
The Clustering of Little Red Dots from Ultra-Strongly Self-Interacting Dark Matter,"We predict the effective clustering bias parameter, $b_{\rm{eff}}$, at $z\sim5$ for Little Red Dots (LRDs) seeded by Ultra-Strongly Self-Interacting Dark Matter (uSIDM). From our model, we find that $b_{\rm{eff}}\sim4.5$, thus we infer that LRDs seeded by uSIDM would populate halos of typical masses $\sim 8\times10^{10}~M_{\odot}$; this bias factor is consistent with LRDs being a distinct population from high redshift quasars. To the extent that we are aware, this is the first formation-based theoretical prediction of LRD clustering from a model consistent with the LRD mass function. We find that this bias and clustering is insensitive to a wide range of the underlying uSIDM microphysics parameters, including the uSIDM cross-section $\sigma/m$ and uSIDM fraction $f$. This is therefore a robust prediction from the uSIDM model, and will allow for direct probes of the uSIDM paradigm as the origin of LRDs in the next few years. Upcoming \texttt{JWST} observations will constrain the population of LRDs, including directly measuring their clustering.","['M. Grant Roberts', 'Aarna Garg', 'Tesla Jeltema', 'Stefano Profumo']",3.0,5.0,0.0,arxiv.org/pdf/2512.18000,Cosmology and Nongalactic Astrophysics,"['Astrophysics of Galaxies', 'High Energy Physics - Phenomenology']",,,"['most of which have redshiftsintherangeof4<𝑧<7', 'dark matter – quasars: supermassive black holes – galaxies: luminosity function', 'mass function – galaxies: high-redshift – cosmology: theory 1 INTRODUCTION LittleRedDots(LRDs)arearecently-discoveredpopulationoflikely dust-enshrouded active galactic nuclei (AGN)']",2025-12-23,"5 pages, 3 figures",,0,"[None, None, None, None]",0,0,0
Time-resolved X-ray spectra of Proxima Centauri as seen by XMM-Newton,"Stellar soft X-ray ([1, 100] Angstrom) and Extreme Ultraviolet (also EUV, [100, 920] Angstrom; jointly, XUV) radiation affects the evolution and chemistry of exoplanet atmospheres. It is however uncertain to what extent the radiation's short-term variability contributes to these effects. We are interested in what this variability might imply for planets around M dwarf stars, and focus on Proxima Centauri (Prox Cen) for three reasons: it is an active M dwarf with high levels of variability; it hosts a likely terrestrial exoplanet within its habitable zone (HZ) that will be a prime target for future direct imaging; its proximity has led to extensive observations. We set out to produce time-resolved XUV spectra of Prox Cen that will serve as input to atmospheric models, and to characterize the intrinsic variability of the star. We analyzed the entire dataset of archival XMM-Newton observations for Prox Cen. To derive the time-resolved X-ray spectra, we implemented a new pile-up correction, a new adaptive time-binning algorithm, and a time-dependent plasma model selection. The estimated EUV spectrum is based on a published template, that we scale with proposed relationships between X-ray and EUV fluxes. We produced spectra of Prox Cen from 1 to 920 Angstrom over ~260 ks of observations with unprecedented time resolution. The instantaneous X-ray flux of Prox Cen varies between about 20 times and one-fifth of the average value over the available baseline, with significant differences between wavelengths. We further quantify how variability affects the estimated average flux when a limited number of snapshots (each typically of 30 ks exposure) are available, as is common in X-ray surveys. Future investigations of the atmospheres of Prox Cen b should fold in the time variability and uncertainties described here.","['A. Damonte', 'I. Pillitteri', 'A. Maggio', 'A. García Muñoz', 'G. Micela']",14.0,19.0,3.0,arxiv.org/pdf/2512.18011,Earth and Planetary Astrophysics,"['Instrumentation and Methods for Astrophysics', 'Solar and Stellar Astrophysics']",A&A,,['planets and satellites: atmospheres – stars: activity – stars: flare – stars: late-type – X-rays: stars – planetary systems 1'],2025-12-23,"19 pages, 14 figures, 3 tables; Accepted for publication in A&A",,0,"[None, None, None, None, None]",0,0,1
Widespread Shocks in an Odd Radio Circle Host Galaxy,"Odd Radio Circles (ORCs) are a new class of extragalactic object, with large rings of faint radio continuum emission typically spanning 100s of kpc; their origins are unknown. Previous optical spectroscopy of the central galaxy in ORC4, a classic isolated ORC, revealed spatially-extended ionized gas with strong [OII] emission and line ratios consistent with LINER emission. We present new Keck/KCWI+KCRM integral field spectroscopy covering multiple strong optical emission lines to measure the extent, morphology, and spatially-resolved kinematics and line ratios of the ionized and neutral gas in the ORC4 central galaxy. We find that [OII] is the strongest optical emission line in this massive, old galaxy, and the [OII] emission is more spatially extended than other optical lines, including H-alpha. The gas kinematics show strong spatial asymmetries, high velocity gradients (>100 km/s), and high velocity dispersion (~200 km/s). The emission line ratios are most consistent with shock models with shock velocities of ~200-300 km/s and are not fit well by AGN photoionization models. These findings strongly suggest that the gas in the ORC4 central galaxy is the result of shock ionization in and around the central galaxy, likely associated with the event that created the large-scale radio ring of emission that identified this source as an ORC.","['Alison L. Coil', 'David S. N. Rupke', 'Serena Perrotta', 'Saloni Agrawal', 'Cassandra Lochhaas']",15.0,18.0,1.0,arxiv.org/pdf/2512.18012,Astrophysics of Galaxies,,ApJ,,[],2025-12-23,"Submitted to ApJ, 18 pages, 15 figures",,0,"[None, None, None, None, None]",0,0,0
Monitoring and Evaluating Astronomy-for-Development Initiatives,"This paper serves as a practical guide for individuals and organisations seeking to design, implement, and evaluate astronomy-for-development initiatives, as well as those preparing proposals for the International Astronomical Union's Office of Astronomy for Development (IAU OAD) annual Call for Proposals. The paper aims to outline how systematic evidence collection can strengthen project design, enhance accountability, and increase the likelihood of measurable impact. It explains the distinction between monitoring and evaluation, provides guidance on when and how evaluation should be undertaken, and summarises key evaluation types - process, feasibility, impact, outcome, economic, and summative, relevant to astronomy-based interventions. In addition to conceptual discussion, the paper presents a set of practical steps, reflective questions, and examples to help project teams develop a clear theory of change, define appropriate indicators, and anticipate risks and unintended consequences. By contextualising M&E within the broader goals of the OAD and the Sustainable Development Goals (SDGs), this work aims to empower practitioners to create evidence-informed, community-driven, and sustainable astronomy-for-development projects that deliver both local and global benefit.",['Joyful E. Mdhluli'],1.0,8.0,1.0,arxiv.org/pdf/2512.18015,Instrumentation and Methods for Astrophysics,['Physics and Society'],,,Astronomy·Sustainable Development Goals·Impact·Monitoring·Evaluation ,2025-12-23,"8 pages, 1 figure",,0,[None],2,0,0
