title,abstract,authors,published,link,category,summary,keywords,affiliation
Computing with D-Algebraic Sequences,"A sequence is difference algebraic (or D-algebraic) if finitely many shifts
of its general term satisfy a polynomial relationship; that is, they are the
coordinates of a generic point on an affine hypersurface. The corresponding
equations are called algebraic difference equations (ADE). We show that
subsequences of D-algebraic sequences, indexed by arithmetic progressions,
satisfy ADEs of the same orders as the original sequences. Additionally, we
provide algorithms for operations with D-algebraic sequences and discuss the
difference-algebraic nature of holonomic and $C^2$-finite sequences.",Bertrand Teguia Tabuguia,2024-12-30,http://arxiv.org/abs/2412.20630v1,math.AG,"The abstract discusses the properties of difference algebraic sequences, particularly that subsequences indexed by arithmetic progressions satisfy algebraic difference equations of the same order as the original sequences.",Sequences D-Algebraic Computing,['']
Slow Perception: Let's Perceive Geometric Figures Step-by-step,"Recently, ""visual o1"" began to enter people's vision, with expectations that
this slow-thinking design can solve visual reasoning tasks, especially
geometric math problems. However, the reality is that current LVLMs (Large
Vision Language Models) can hardly even accurately copy a geometric figure, let
alone truly understand the complex inherent logic and spatial relationships
within geometric shapes. We believe accurate copying (strong perception) is the
first step to visual o1. Accordingly, we introduce the concept of ""slow
perception"" (SP), which guides the model to gradually perceive basic point-line
combinations, as our humans, reconstruct complex geometric structures
progressively. There are two-fold stages in SP: a) perception decomposition.
Perception is not instantaneous. In this stage, complex geometric figures are
broken down into basic simple units to unify geometry representation. b)
perception flow, which acknowledges that accurately tracing a line is not an
easy task. This stage aims to avoid ""long visual jumps"" in regressing line
segments by using a proposed ""perceptual ruler"" to trace each line
stroke-by-stroke. Surprisingly, such a human-like perception manner enjoys an
inference time scaling law -- the slower, the better. Researchers strive to
speed up the model's perception in the past, but we slow it down again,
allowing the model to read the image step-by-step and carefully.","Haoran Wei, Youyang Yin, Yumeng Li, Jia Wang, Liang Zhao, Jianjian Sun, Zheng Ge, Xiangyu Zhang",2024-12-30,http://arxiv.org/abs/2412.20631v1,cs.CV,"Researchers introduce ""slow perception"" (SP) to improve visual reasoning tasks, particularly geometric math problems, by guiding the model to gradually perceive basic point-line combinations, decomposing complex figures into simple units, and tracing lines stroke-by-stroke.",slow perception geometric figures,
EVOLVE: Emotion and Visual Output Learning via LLM Evaluation,"Human acceptance of social robots is greatly effected by empathy and
perceived understanding. This necessitates accurate and flexible responses to
various input data from the user. While systems such as this can become
increasingly complex as more states or response types are included, new
research in the application of large language models towards human-robot
interaction has allowed for more streamlined perception and reaction pipelines.
LLM-selected actions and emotional expressions can help reinforce the realism
of displayed empathy and allow for improved communication between the robot and
user. Beyond portraying empathy in spoken or written responses, this shows the
possibilities of using LLMs in actuated, real world scenarios. In this work we
extend research in LLM-driven nonverbal behavior for social robots by
considering more open-ended emotional response selection leveraging new
advances in vision-language models, along with emotionally aligned motion and
color pattern selections that strengthen conveyance of meaning and empathy.","Jordan Sinclair, Christopher Reardon",2024-12-30,http://arxiv.org/abs/2412.20632v1,cs.RO,"The paper explores the use of large language models to improve social robots' empathetic communication by selecting accurate and flexible responses, incorporating nonverbal behaviors, and utilizing vision-language models for emotional response selection.","Emotion, Learning, LLM",
"Graph Neural Networks for Next-Generation-IoT: Recent Advances and Open
  Challenges","Graph Neural Networks (GNNs) have emerged as a critical tool for optimizing
and managing the complexities of the Internet of Things (IoT) in
next-generation networks. This survey presents a comprehensive exploration of
how GNNs may be harnessed in 6G IoT environments, focusing on key challenges
and opportunities through a series of open questions. We commence with an
exploration of GNN paradigms and the roles of node, edge, and graph-level tasks
in solving wireless networking problems and highlight GNNs' ability to overcome
the limitations of traditional optimization methods. This guidance enhances
problem-solving efficiency across various next-generation (NG) IoT scenarios.
Next, we provide a detailed discussion of the application of GNN in advanced NG
enabling technologies, including massive MIMO, reconfigurable intelligent
surfaces, satellites, THz, mobile edge computing (MEC), and ultra-reliable low
latency communication (URLLC). We then delve into the challenges posed by
adversarial attacks, offering insights into defense mechanisms to secure
GNN-based NG-IoT networks. Next, we examine how GNNs can be integrated with
future technologies like integrated sensing and communication (ISAC),
satellite-air-ground-sea integrated networks (SAGSIN), and quantum computing.
Our findings highlight the transformative potential of GNNs in improving
efficiency, scalability, and security within NG-IoT systems, paving the way for
future advances. Finally, we propose a set of design guidelines to facilitate
the development of efficient, scalable, and secure GNN models tailored for NG
IoT applications.","Nguyen Xuan Tung, Le Tung Giang, Bui Duc Son, Seon Geun Jeong, Trinh Van Chien, Won Joo Hwang, Lajos Hanzo",2024-12-30,http://arxiv.org/abs/2412.20634v1,cs.IT,"This survey explores the potential of Graph Neural Networks (GNNs) in 6G Internet of Things (IoT) environments, highlighting their ability to overcome traditional optimization methods' limitations, and discussing applications, challenges, and future directions.",Graph Neural Networks IoT Advances Challenges,
"NetFlowGen: Leveraging Generative Pre-training for Network Traffic
  Dynamics","Understanding the traffic dynamics in networks is a core capability for
automated systems to monitor and analyze networking behaviors, reducing
expensive human efforts and economic risks through tasks such as traffic
classification, congestion prediction, and attack detection. However, it is
still challenging to accurately model network traffic with machine learning
approaches in an efficient and broadly applicable manner. Task-specific models
trained from scratch are used for different networking applications, which
limits the efficiency of model development and generalization of model
deployment. Furthermore, while networking data is abundant, high-quality
task-specific labels are often insufficient for training individual models.
Large-scale self-supervised learning on unlabeled data provides a natural
pathway for tackling these challenges. We propose to pre-train a
general-purpose machine learning model to capture traffic dynamics with only
traffic data from NetFlow records, with the goal of fine-tuning for different
downstream tasks with small amount of labels. Our presented NetFlowGen
framework goes beyond a proof-of-concept for network traffic pre-training and
addresses specific challenges such as unifying network feature representations,
learning from large unlabeled traffic data volume, and testing on real
downstream tasks in DDoS attack detection. Experiments demonstrate promising
results of our pre-training framework on capturing traffic dynamics and
adapting to different networking tasks.","Jiawei Zhou, Woojeong Kim, Zhiying Xu, Alexander M. Rush, Minlan Yu",2024-12-30,http://arxiv.org/abs/2412.20635v1,cs.LG,"The NetFlowGen framework proposes a general-purpose machine learning model pre-trained on NetFlow records to capture network traffic dynamics, which can be fine-tuned for different downstream tasks with a small amount of labels.","generative pre-training, network traffic, dynamics",
"Knowledge Editing for Large Language Model with Knowledge Neuronal
  Ensemble","As real-world knowledge is constantly evolving, ensuring the timeliness and
accuracy of a model's knowledge is crucial. This has made knowledge editing in
large language models increasingly important. However, existing knowledge
editing methods face several challenges, including parameter localization
coupling, imprecise localization, and a lack of dynamic interaction across
layers. In this paper, we propose a novel knowledge editing method called
Knowledge Neuronal Ensemble (KNE). A knowledge neuronal ensemble represents a
group of neurons encoding specific knowledge, thus mitigating the issue of
frequent parameter modification caused by coupling in parameter localization.
The KNE method enhances the precision and accuracy of parameter localization by
computing gradient attribution scores for each parameter at each layer. During
the editing process, only the gradients and losses associated with the
knowledge neuronal ensemble are computed, with error backpropagation performed
accordingly, ensuring dynamic interaction and collaborative updates among
parameters. Experimental results on three widely used knowledge editing
datasets show that the KNE method significantly improves the accuracy of
knowledge editing and achieves, or even exceeds, the performance of the best
baseline methods in portability and locality metrics.","Yongchang Li, Yujin Zhu, Tao Yan, Shijian Fan, Gang Wu, Liang Xu",2024-12-30,http://arxiv.org/abs/2412.20637v1,cs.CL,"This paper proposes a novel knowledge editing method called Knowledge Neuronal Ensemble (KNE), which improves the accuracy and precision of parameter localization by computing gradient attribution scores and dynamically interacting among parameters.",Knowledge Neural,
Predicting Long Term Sequential Policy Value Using Softer Surrogates,"Performing policy evaluation in education, healthcare and online commerce can
be challenging, because it can require waiting substantial amounts of time to
observe outcomes over the desired horizon of interest. While offline evaluation
methods can be used to estimate the performance of a new decision policy from
historical data in some cases, such methods struggle when the new policy
involves novel actions or is being run in a new decision process with
potentially different dynamics. Here we consider how to estimate the
full-horizon value of a new decision policy using only short-horizon data from
the new policy, and historical full-horizon data from a different behavior
policy. We introduce two new estimators for this setting, including a doubly
robust estimator, and provide formal analysis of their properties. Our
empirical results on two realistic simulators, of HIV treatment and sepsis
treatment, show that our methods can often provide informative estimates of a
new decision policy ten times faster than waiting for the full horizon,
highlighting that it may be possible to quickly identify if a new decision
policy, involving new actions, is better or worse than existing past policies.","Hyunji Nam, Allen Nie, Ge Gao, Vasilis Syrgkanis, Emma Brunskill",2024-12-30,http://arxiv.org/abs/2412.20638v1,cs.AI,Researchers propose two new estimators to evaluate the performance of a new decision policy using short-horizon data from the new policy and historical full-horizon data from a different behavior policy.,Sequential Policy Value Softer Surrogates,
"SafeSynthDP: Leveraging Large Language Models for Privacy-Preserving
  Synthetic Data Generation Using Differential Privacy","Machine learning (ML) models frequently rely on training data that may
include sensitive or personal information, raising substantial privacy
concerns. Legislative frameworks such as the General Data Protection Regulation
(GDPR) and the California Consumer Privacy Act (CCPA) have necessitated the
development of strategies that preserve privacy while maintaining the utility
of data. In this paper, we investigate the capability of Large Language Models
(LLMs) to generate synthetic datasets integrated with Differential Privacy (DP)
mechanisms, thereby enabling data-driven research and model training without
direct exposure of sensitive information. Our approach incorporates DP-based
noise injection methods, including Laplace and Gaussian distributions, into the
data generation process. We then evaluate the utility of these DP-enhanced
synthetic datasets by comparing the performance of ML models trained on them
against models trained on the original data. To substantiate privacy
guarantees, we assess the resilience of the generated synthetic data to
membership inference attacks and related threats. The experimental results
demonstrate that integrating DP within LLM-driven synthetic data generation
offers a viable balance between privacy protection and data utility. This study
provides a foundational methodology and insight into the privacy-preserving
capabilities of LLMs, paving the way for compliant and effective ML research
and applications.","Md Mahadi Hasan Nahid, Sadid Bin Hasan",2024-12-30,http://arxiv.org/abs/2412.20641v1,cs.LG,The paper investigates the use of large language models to generate synthetic datasets with differential privacy mechanisms to preserve privacy while maintaining data utility for machine learning research and applications.,"Large Language Models, Synthetic Data, Differential Privacy",
Uncertainty Herding: One Active Learning Method for All Label Budgets,"Most active learning research has focused on methods which perform well when
many labels are available, but can be dramatically worse than random selection
when label budgets are small. Other methods have focused on the low-budget
regime, but do poorly as label budgets increase. As the line between ""low"" and
""high"" budgets varies by problem, this is a serious issue in practice. We
propose uncertainty coverage, an objective which generalizes a variety of low-
and high-budget objectives, as well as natural, hyperparameter-light methods to
smoothly interpolate between low- and high-budget regimes. We call greedy
optimization of the estimate Uncertainty Herding; this simple method is
computationally fast, and we prove that it nearly optimizes the
distribution-level coverage. In experimental validation across a variety of
active learning tasks, our proposal matches or beats state-of-the-art
performance in essentially all cases; it is the only method of which we are
aware that reliably works well in both low- and high-budget settings.","Wonho Bae, Gabriel L. Oliveira, Danica J. Sutherland",2024-12-30,http://arxiv.org/abs/2412.20644v1,cs.LG,"Uncertainty coverage, a new active learning objective, generalizes various objectives and can smoothly interpolate between low- and high-budget regimes, outperforming current methods in both settings.",uncertainty herding active learning,
YOLO-UniOW: Efficient Universal Open-World Object Detection,"Traditional object detection models are constrained by the limitations of
closed-set datasets, detecting only categories encountered during training.
While multimodal models have extended category recognition by aligning text and
image modalities, they introduce significant inference overhead due to
cross-modality fusion and still remain restricted by predefined vocabulary,
leaving them ineffective at handling unknown objects in open-world scenarios.
In this work, we introduce Universal Open-World Object Detection (Uni-OWD), a
new paradigm that unifies open-vocabulary and open-world object detection
tasks. To address the challenges of this setting, we propose YOLO-UniOW, a
novel model that advances the boundaries of efficiency, versatility, and
performance. YOLO-UniOW incorporates Adaptive Decision Learning to replace
computationally expensive cross-modality fusion with lightweight alignment in
the CLIP latent space, achieving efficient detection without compromising
generalization. Additionally, we design a Wildcard Learning strategy that
detects out-of-distribution objects as ""unknown"" while enabling dynamic
vocabulary expansion without the need for incremental learning. This design
empowers YOLO-UniOW to seamlessly adapt to new categories in open-world
environments. Extensive experiments validate the superiority of YOLO-UniOW,
achieving achieving 34.6 AP and 30.0 APr on LVIS with an inference speed of
69.6 FPS. The model also sets benchmarks on M-OWODB, S-OWODB, and nuScenes
datasets, showcasing its unmatched performance in open-world object detection.
Code and models are available at https://github.com/THU-MIG/YOLO-UniOW.","Lihao Liu, Juexiao Feng, Hui Chen, Ao Wang, Lin Song, Jungong Han, Guiguang Ding",2024-12-30,http://arxiv.org/abs/2412.20645v1,cs.CV,"This paper introduces Universal Open-World Object Detection (Uni-OWD), a paradigm that unifies open-vocabulary and open-world object detection tasks, and presents YOLO-UniOW, a novel model that achieves efficient detection without compromising generalization and adapts to new categories in open-world environments.","Object Detection, Open-World, Efficient",
