title,authors,affiliations
Can a multi-tracer approach improve the constraints on the turnover scale?,[],[]
First large scale spatial and velocity patterns of local metal-rich stars in the Milky Way,[],[]
A Stellar Magnesium to Silicon ratio in the atmosphere of an exoplanet,[],[]
Photometric and spectroscopic variability of blue supergiant \r{ho} Leo,[],[]
Homogeneous measurements of proximity zone sizes for 59 quasars in the Epoch of Reionization,"['Silvia Onorato$^{1}$\\thanks{E-mail: onorato@strw.leidenuniv.nl}, Joseph F. Hennawi$^{1,2}$, Elia Pizzati$^{1}$, Bram P. Venemans$^{1}$, and Anna-Christina Eilers$^{3}$ \\\\ $^{1}$Leiden Observatory, Leiden University, P.O. Box 9513, 2300 RA Leiden, The Netherlands\\\\ $^{2}$Department of Physics, Broida Hall, University of California, Santa Barbara, Santa Barbara, CA 93106-9530, USA\\\\ $^{3}$MIT Kavli Institute for Astrophysics and Space Research, Massachusetts Institute of Technology, Cambridge, MA 02139, USA']",[[]]
The COSMOS-Web Lens Survey (COWLS) III: forecasts versus data,[],[]
JWST observations of segregated $^{12}$CO$_2$ and $^{13}$CO$_2$ ices in protostellar envelopes,"['N. G. C. Brunken', 'A. C. A. Boogert', 'E. F. van Dishoeck', 'N. J. Evans', 'C. A. Poteet', 'K. Slavicinska', 'L. Tychoniec', 'P. Nazari', 'L. W. Looney', 'H. Tyagi', 'M. Narang']","[['Leiden Observatory, 2300 RA Leiden, The Netherlands'], ['Institute for Astronomy, University of Hawai’i at Manoa 2680 Woodlawn Drive, Honolulu, HI 96822, USA'], ['Leiden Observatory, 2300 RA Leiden, The Netherlands', 'Max-Planck-Institut f\\""{u}r Extraterrestrische Physik, Gie{\\ss}enbachstra{\\ss}e 1, 85748 Garching, Germany'], ['Department of Astronomy, The University of Texas at Austin, 2515 Speedway, Stop C1400, Austin, Texas 78712-1205, USA'], ['NV5 Geospatial Solutions, Inc. 385 Interlocken Crescent, Suite 300 Broomfield, CO 80021, USA'], ['Leiden Observatory, 2300 RA Leiden, The Netherlands'], ['Leiden Observatory, 2300 RA Leiden, The Netherlands'], ['European Southern Observatory, Karl-Schwarzschild-Strasse 2, 85748 Garching bei München, Germany 510'], ['Department of Astronomy, University of Illinois, 1002 W. Green St., Urbana, IL, 61801'], ['Department of Astronomy and Astrophysics Tata Institute of Fundamental Research 4 Homi Bhabha Road, Colaba, Mumbai 400005, India'], ['Department of Astronomy and Astrophysics Tata Institute of Fundamental Research 4 Homi Bhabha Road, Colaba, Mumbai 400005, India']]"
A direct black hole mass measurement in a Little Red Dot at the Epoch of Reionization,[],[]
Roman coronagraph simulations of exozodi observations in the presence of wavefront errors,[],[]
Why the northern hemisphere needs a 30-40 m telescope and the science at stake: Massive stars in spiral galaxies,[],[]
