title,lines
Can a multi-tracer approach improve the constraints on the turnover scale?,[]
First large scale spatial and velocity patterns of local metal-rich stars in the Milky Way,"[""Universit\\'e C\\^ote d'Azur, Observatoire de la C\\^ote d'Azur, CNRS, Laboratoire Lagrange, Nice, France\\label{oca}"", 'Lund Observatory, Department of Geology, Sölvegatan 12, SE-22362 Lund, Sweden\\label{lund}', 'Observational Astrophysics, Department of Physics and Astronomy, Uppsala University, Box 516, SE-751 20 Uppsala, Sweden\\label{uppsala}', 'Leibniz-Institüt für Astrophysik Potsdam (AIP), An der Sternwarte 16, D-14482, Potsdam, Germany\\label{aip}']"
A Stellar Magnesium to Silicon ratio in the atmosphere of an exoplanet,"['\\affil[1]{School of Earth and Space Exploration, Arizona State University, Tempe, AZ, USA}', ""\\affil[2]{Observatoire astronomique de l’Universit\\'e de Gen\\`eve, Switzerland}"", '\\affil[3]{Department of Astronomy and Astrophysics, University of Chicago, Chicago, IL, USA}', '\\affil[4]{Dipartimento di Fisica, Universit\\`a degli Studi di Torino, Torino, Italy}', '\\affil[5]{INAF -- Osservatorio Astrofisico di Torino, 10025 Pino Torinese, Italy}', '\\affil[6]{Department of Astronomy, The University of Texas at Austin, Austin, TX, USA}', '\\affil[7]{Department of Astronomy, University of Maryland, College Park, MD, USA}', '\\affil[8]{Department of Physics, University of Warwick, Coventry, UK}', '\\affil[9]{Center for Exoplanets and Habitability, University of Warwick, Coventry, UK}', ""\\affil[10]{Laboratoire Lagrange, Observatoire de la C\\^ote d'Azur, CNRS, Universit\\'e C\\^ote d'Azur, Nice, France}"", '\\affil[11]{INAF -- Osservatorio Astrofisico di Arcetri, Florence, Italy}', '\\affil[12]{Department of Astronomy, University of Michigan, Ann Arbor, MI, USA}', ""\\affil[13]{Trottier Institute for Research on Exoplanets (iREx), Universit\\'e de Montr\\'eal, Montr\\'eal, QC, Canada}""]"
Photometric and spectroscopic variability of blue supergiant \r{ho} Leo,"['\\institute{Tartu Observatory, University of Tartu, Observatooriumi 1, T\\~{o}ravere, 61602, Estonia.', ""Centro Multidisciplinario de F\\'isica, Vicerrector\\'ia de Investigaci\\'on, Universidad Mayor, 8580745 Santiago, Chile."", 'Instituto de Estadística, Universidad de Valparaiso, Blanco 951, Valparaíso, Chile.', 'Division of Physics of stellar atmospheres and magnetism, Shamakhy Astrophysical Observatory, Shamakhy, 5600 Azerbaijan.', 'Graduate School of Science, Art and Technology, Khazar University, 41 Mahsati Str., AZ 1096, Baku, Azerbaijan.', 'Departamento de Física, Universidade Federal de São Paulo, Rua Prof. Artur Riedel, 275, 09972-270, Diadema, SP, Brazil.', 'Instituto de Astrofísica La Plata, CCT La Plata, CONICET-UNLP, Paseo del Bosque S/N, B1900FWA La Plata, Argentina.', ""Departamento de Espectroscopía, Facultad de Ciencias Astron\\'omicas y Geofísicas, Universidad Nacional de La Plata (UNLP), Paseo del Bosque S/N, B1900FWA La Plata, Argentina."", '{We investigate the variability patterns of the evolved B-type star {\\rholeo} to determine its properties, identify the underlying physical processes, and constrain its evolutionary stage. We have combined extensive, long-term datasets of spectroscopic and photometric observations from various sources. These include data from the TESS and Kepler space telescopes, as well as observations from the 1.5~m telescope in Estonia.}']"
Homogeneous measurements of proximity zone sizes for 59 quasars in the Epoch of Reionization,[]
The COSMOS-Web Lens Survey (COWLS) III: forecasts versus data,[]
JWST observations of segregated $^{12}$CO$_2$ and $^{13}$CO$_2$ ices in protostellar envelopes,[]
A direct black hole mass measurement in a Little Red Dot at the Epoch of Reionization,[]
Roman coronagraph simulations of exozodi observations in the presence of wavefront errors,"['\\affil[a]{Jet Propulsion Laboratory, California Institute of Technology, 4800 Oak Grove Dr., Pasadena, CA 91109, USA}', '\\affil[b]{Steward Observatory and Department of Astronomy, University of Arizona, 933 N Cherry Ave., Tucson AZ 85721, USA}', '\\affil[c]{Massachusetts Institute of Technology, 77 Massachusetts Ave., Cambridge, MA 02139, USA}', '\\affil[d]{IPAC, Caltech, 1200 E. California Blvd., Pasadena, CA 91125, USA}']"
Why the northern hemisphere needs a 30-40 m telescope and the science at stake: Massive stars in spiral galaxies,[]
CAPERS-LRD-z9: A Gas Enshrouded Little Red Dot Hosting a Broad-line AGN at z=9.288,[]
Stray and Scattered Light Considerations in a Non-contiguous Array of Commercial CMOS Sensors in a Space Mission,[]
TOI-1438: A rare system with two short-period sub-Neptunes and a tentative long-period Jupiter-like planet orbiting a K0V star,"['\\institute{Chalmers University of Technology, Department of Space, Earth and Environment, Onsala Space Observatory, SE-439 92 Onsala, Sweden.\\label{OSO}', '\\and Chalmers University of Technology, Department of Space, Earth and Environment, 412 93, Gothenburg, Sweden.\\label{Chalmers}', '\\and Stellar Astrophysics Centre, Department of Physics and Astronomy, Aarhus University, Ny Munkegade 120, DK-8000 Aarhus C, Denmark\\label{sac}', ""\\and   Instituto de Astrof\\' isica de Canarias (IAC), C. Via Lactea S/N, E-38205 La Laguna, Tenerife, Spain.\\label{IAC}"", ""\\and Universidad de La Laguna (ULL), Departamento de Astrof\\'isica, E-38206 La Laguna, Tenerife, Spain.\\label{ULL}"", '\\and Max-Planck Institut für Astronomie, Konigstuhl 17, 69117, Heidelberg, Germany.\\label{Max-Planck Heidelberg}', ""\\and Institute of Astronomy, Faculty of Physics, Astronomy and Informatics, Nicolaus Copernicus University, Grudziadzka 5, 87-100 Toru\\'n, Poland.\\label{Torun Polen}"", ""\\and Universit\\'e Paris-Saclay, Universit\\'e Paris Cit\\'e, CEA, CNRS, AIM, 91191, Gif-sur-Yvette, France. \\label{CEA Saclay}"", ""\\and INSA Lyon - Institut National des Sciences Appliqu\\'ees, France \\label{INSA}"", '\\and Lund Observatory, Division of Astrophysics, Department of Physics, Lund University, Box 118, 221 00, Lund, Sweden. \\label{Lund}', '\\and Leiden Observatory, University of Leiden, PO Box 9513, 2300 RA, Leiden, The Netherlands. \\label{Leiden}', '\\and Leiden Observatory, University of Leiden, PO Box 9513, 2300 RA, Leiden, The Netherlands. \\label{Leiden}', '\\and Dipartimento di Fisica, Università degli Studi di Torino, via Pietro Giuria 1, I-10125, Torino, Italy. \\label{Torino}', '\\and Th\\""uringer Landessternwarte Tautenburg, Sternwarte 5, 07778, Tautenburg, Germany. \\label{Tautenburg}', ""\\and Observatoire astronomique de l'Universit\\'e de Gen\\'eve, Chemin Pegasi 51, 1290 Versoix, Switzerland.\\label{Geneve}"", '\\and Department of Astronomy \\& Astrophysics, University of Chicago, Chicago, IL 60637, USA.\\label{Chicago}', '\\and Instituto de Astrofísica de Andalucía (IAA-CSIC), Glorieta de la Astronomía s/n, 18008 Granada, Spain  \\label{Andalucia}', '\\and INAF - Osservatorio Astronomico di Palermo, Piazza del Parlamento, 1, 90134 Palermo, Italy. \\label{Palermo}', '\\and Department of Astronomy, University of Texas at Austin, 2515 Speedway, Austin, TX 78712, USA. \\label{Austin}', '\\and Department of Physics and Astronomy, Aarhus University, Ny Munkegade 120, 8000 Aarhus C, Denmark. \\label{Aarhus}', '\\and Center for Astrophysics \\textbar \\ Harvard \\& Smithsonian, 60 Garden Street, Cambridge, MA 02138, USA.', '\\and McDonald Observatory, The University of Texas, Austin Texas USA.\\label{McDonald}', '\\and{Department of Physics and Astronomy, University of Kansas, Lawrence, KS, USA}. \\label{Kansas}', '\\and NASA Exoplanet Science Institute, Caltech/IPAC, Mail Code 100-22, 1200 E. California Blvd., Pasadena, CA 91125, USA. \\label{Caltech}', '\\and NASA Ames Research Center, Moffett Field, CA 94035, USA. \\label{NASA Ames}', '\\and  501 Campbell Hall, University of California at Berkeley, Berkeley, CA 94720, USA. \\label{Berkeley}', '\\and  Institute of Space Research, German Aerospace Center (DLR), Rutherfordstr. 2, 12489 Berlin, Germany. \\label{Berlin}', '\\and Astrobiology Center, 2-21-1 Osawa, Mitaka, Tokyo 181-8588, Japan.\\label{Tokyo}', 'National Astronomical Observatory of Japan, 2-21-1 Osawa, Mitaka, Tokyo 181-8588, Japan.\\label{NRAO}', 'Department of Astronomy, The Graduate University for Advanced Studies (SOKENDAI), 2-21-1 Osawa, Mitaka, Tokyo, Japan.\\label{Sokendai}', '\\and  U.S. Naval Observatory, Washington, D.C. 20392, USA.\\label{Naval}', '\\and Astronomy Department and Van Vleck Observatory, Wesleyan University, Middletown, CT 06459, USA.\\label{Wesleyan}', '\\and NASA Goddard Space Flight Center, 8800 Greenbelt Rd., Greenbelt, MD 20771, USA.\\label{Goddard}', '\\and Department of Physics and Kavli Institute for Astrophysics and Space Research, Massachusetts Institute of Technology, Cambridge, MA 02139, USA. \\label{KavliMIT}', '\\and Department of Earth, Atmospheric and Planetary Sciences, Massachusetts Institute of Technology, Cambridge, MA 02139, USA.\\label{AstrophysicsMIT}', '\\and Department of Aeronautics and Astronautics, MIT, 77 Massachusetts Avenue, Cambridge, MA 02139, USA.\\label{MITAeronautics}', '\\and Department of Physics \\& Astronomy, Vanderbilt University, Nashville, TN 37235, USA.  \\label{Vanderbilt}', '\\and SETI Institute, Mountain View, CA 94043 USA.\\label{SETI}', '\\and NASA Ames Research Center, Moffett Field, CA 94035 USA.\\label{Ames}', '\\and Department of Physics and Astronomy, University of Notre Dame, Notre Dame, IN 46556, USA. \\label{Notre Dame}']"
Probabilistic mapping between multiparticle production variables and the depth of maximum in proton-induced extensive air showers,[]
In situ Evidence of 5-minute Oscillations from Parker Solar Probe,"['\\small$^{1}$Department of Earth, Planetary, and Space Sciences, University of California, Los Angeles; Los Angeles, 90049, USA\\and', '\\small$^{2}$Advanced Heliophysics, Pasadena, CA 91106, USA \\and', '\\small$^{3}$School of Engineering, Physics \\& Mathematics, Northumbria University, Newcastle upon Tyne, NE2 3RA, UK \\and', '\\small$^{4}$Department of Physics, Auburn University; 380 Duncan Dr., Auburn, AL 36849, USA \\and', '\\small$^{5}$Center for Astrophysics, Harvard and Smithsonian, Cambridge, MA 02138, USA. \\and', '\\small$^{6}$Department of Physics \\& Astronomy, University of New Hampshire, Durham, NH, USA \\and', '\\small$^{7}$Johns Hopkins University Applied Physics Laboratory, Laurel, MD, USA \\and', '\\small$^{8}$Space Sciences Laboratory, University of California, Berkeley, CA 94720, USA. \\and', '\\small$^{9}$Department of Physics, University of California, Berkeley, CA 94720, USA. \\and', '\\small$^{10}$University of Potsdam, Karl-Liebknecht-Str. 24-25, Haus 28, 2.109, 14476 Potsdam, Germany \\and', '\\small$^{11}$Department of Planetary Sciences, University of Arizona, Tucson, AZ, USA \\and']"
An Ancient Descendant of the First Galaxies,"['\\affil*[1]{David A. Dunlap Department of Astronomy and Astrophysics, University of Toronto, 50 St. George Street, Toronto, Ontario, M5S 3H4, Canada}', '\\affil[2]{\\orgname{Department of Astronomy, University of Massachusetts, Amherst}, \\orgaddress{710 N Pleasant Street}, \\city{Amherst, MA}, \\postcode{01003}, \\country{USA}}', '\\affil[3]{\\orgdiv{Department of Physics and Astronomy}, \\orgname{York University}, \\orgaddress{\\street{4700 Keele St.}, \\city{Toronto}, \\postcode{M3J 1P3}, \\state{Ontario}, \\country{Canada}}}', '\\affil[4]{\\orgdiv{Department of Physics \\& Astronomy}, \\orgname{Tufts University}, \\orgaddress{\\street{574 Boston Avenue}, \\city{Medford, MA}, \\postcode{02155}, \\country{USA}}}', '\\affil[5]{\\orgdiv{Department of Astronomy}, \\orgname{Kyoto University}, \\orgaddress{\\street{Sakyo-ku}, \\city{Kyoto}, \\postcode{606-8502}, \\state{Kyoto}, \\country{Japan}}}', ""\\affil[6]{\\orgdiv{Department of Astronomy and Physics and Institute for Computational Astrophysics}, \\orgname{Saint Mary's University}, \\orgaddress{\\street{923 Robie Street}, \\city{Halifax}, \\postcode{B3H 3C3}, \\state{Nova Scotia}, \\country{Canada}}}"", '\\affil[7]{\\orgdiv{Columbia Astrophysics Laboratory}, \\orgname{Columbia University}, \\orgaddress{\\street{550 West 120th Street}, \\city{New York}, \\postcode{10027}, \\state{NY}, \\country{USA}}}', '\\affil[8]{\\orgname{Dunlap Institute for Astronomy and Astrophysics}, \\orgaddress{50 St. George Street}, \\city{Toronto, Ontario}, \\postcode{M5S 3H4}, \\country{Canada}}', '\\affil[9]{\\orgname{Department of Statistical Sciences, University of Toronto}, \\orgaddress{700 University Ave}, \\city{Toronto, ON}, \\postcode{M5G 1Z5}, \\country{Canada}}', '\\affil[10]{\\orgname{Data Sciences Institute, University of Toronto}, \\orgaddress{700 University Ave}, \\city{Toronto, ON}, \\postcode{M5G 1Z5}, \\country{Canada}}', '\\affil[11]{\\orgname{George P. and Cynthia Woods Mitchell Institute for Fundamental Physics and Astronomy, Texas A\\&M University}, \\orgaddress{576 University Dr}, \\city{College Station, TX}, \\postcode{78743}, \\country{USA}}', '\\affil[12]{\\orgname{Department of Physics and Astronomy, Texas A\\&M University}, \\orgaddress{4242 TAMU}, \\city{College Station, TX}, \\postcode{78743}, \\country{USA}}', '\\affil[13]{NRC Herzberg, 5071 West Saanich Rd, Victoria, BC V9E 2E7, Canada}', '\\affil[14]{\\orgdiv{Faculty of Mathematics and Physics}, \\orgname{University of Ljubljana}, \\orgaddress{\\street{19 Jadranska ulica}, \\city{Ljubljana}, \\postcode{1000}, \\country{Slovenia}}}', '\\affil[15]{\\orgdiv{Kapteyn Astronomical Institute, University of Groningen},  \\orgaddress{\\street{P.O. Box 800}, \\city{Groningen}, \\postcode{9700AV}, \\country{The Netherlands}}}', '\\affil[15]{\\orgdiv{Kapteyn Astronomical Institute, University of Groningen},  \\orgaddress{\\street{P.O. Box 800}, \\city{Groningen}, \\postcode{9700AV}, \\country{The Netherlands}}}', '\\affil[16]{\\orgdiv{Space Telescope Science Institute}, \\orgaddress{\\street{3700 San Martin Drive}, \\city{Baltimore, Maryland}, \\postcode{21218}, \\country{USA}}}']"
Evidence for ultra-water-rich ammonia hydrates stabilized in icy exoplanetary mantles,[]
MeerKAT view of Hickson Compact Groups: II. HI deficiency in the core and surrounding regions,[]
On the analysis of eruptive events with non-radial evolution,"['\\newcommand{\\pasj}{   {\\it Pub. Astron. Soc. Japan}}', '\\affil*[1]{\\orgdiv{Heliophysics Science Division}, \\orgname{NASA Goddard Space Flight Center}, \\orgaddress{\\street{8800 Greenbelt Rd}, \\city{Greenbelt}, \\postcode{20771}, \\state{MD}, \\country{USA}}}', ""\\affil[2]{\\orgdiv{Département d'Astrophysique/AIM}, \\orgname{CEA/IRFU, CNRS/INSU, Université Paris-Saclay}, \\orgaddress{\\street{Université de Paris }, \\city{Gif-sur-Yvette}, \\postcode{F-91191}, \\country{France}}}"", '\\affil[3]{ \\orgname{Instituto de Astronomía Teórica y Experimental, CONICET-UNC}, \\orgaddress{\\street{Laprida 854}, \\city{Córdoba}, \\postcode{5000}, \\state{Córdoba}, \\country{Argentina}}}']"
Determining the Milky Way gravitational potential without selection functions,[]
Analytical approaches for rapid prediction of gravitational waveforms for relativistic binary systems,"['$^1${\\it Kurchatov Institute, Moscow, Russia}\\\\', '$^2${\\it MIPT, Moscow, Russia}\\\\', '$^3${\\it SAI MSU, Moscow, Russia}\\\\', '$^4${\\it VNIIA, Moscow, Russia}']"
"Computational Insights into the Chemical Reaction Networks of C3H6O3,C3H7O3 and C2H5O2: Implications for the Interstellar Medium",[]
The Stellar Mass and Age Distributions of Star-Forming Clumps at $0.5 < z < 5$ in JWST CANUCS: Implications for Clump Formation and Destruction,"['\\affiliation{Department of Physics and Astronomy, York University, 4700 Keele Street, Toronto, ON, M3J 1P3, Canada}', '\\affiliation{Department of Physics and Astronomy, York University, 4700 Keele Street, Toronto, ON, M3J 1P3, Canada}', '\\affiliation{Department of Physics and Astronomy, York University, 4700 Keele Street, Toronto, ON, M3J 1P3, Canada}', '\\affiliation{Dunlap Institute for Astronomy and Astrophysics, 50 St. George Street, Toronto, Ontario, M5S 3H4, Canada}', '\\affiliation{Waseda Research Institute for Science and Engineering, Faculty of Science and Engineering, Waseda University,\\\\ 3-4-1 Okubo, Shinjuku, Tokyo 169-8555, Japan}', '\\affiliation{Faculty of Mathematics and Physics, Jadranska ulica 19, SI-1000 Ljubljana, Slovenia}', '\\affiliation{Department of Physics and Astronomy, University of California Davis, 1 Shields Avenue, Davis, CA 95616, USA}', '\\affiliation{School of Earth and Space Exploration, Arizona State University, Tempe, AZ 85287, USA}', '\\affiliation{Beus Center for Cosmic Foundations, Arizona State University, Tempe, AZ 85287, USA}', ""\\affiliation{Department of Astronomy and Physics and Institute for Computational Astrophysics, Saint Mary's University, 923 Robie Street, Halifax, Nova Scotia B3H 3C3, Canada}"", '\\affiliation{Columbia Astrophysics Laboratory, Columbia University, 550 West 120th Street, New York, NY 10027, USA}', '\\affiliation{Center for Computational Astrophysics, Flatiron Institute, 162 Fifth Avenue, New York, NY 10010, USA}', '\\affiliation{Faculty of Mathematics and Physics, Jadranska ulica 19, SI-1000 Ljubljana, Slovenia}', '\\affiliation{Space Telescope Science Institute, 3700 San Martin Drive, Baltimore, Maryland 21218, USA}', '\\affiliation{Department of Physics and Astronomy, York University, 4700 Keele Street, Toronto, ON, M3J 1P3, Canada}', ""\\affiliation{Department of Astronomy and Physics and Institute for Computational Astrophysics, Saint Mary's University, 923 Robie Street, Halifax, Nova Scotia B3H 3C3, Canada}""]"
New constraints on the evolution of the MHI-M* scaling relation combining CHILES and MIGHTEE-HI data,[]
Photometric Redshift Estimation for Rubin Observatory Data Preview 1 with Redshift Assessment Infrastructure Layers (RAIL),[]
The mass-metallicity relation of bulges,"[""\\institute{Instituto de Astrof\\'isica, Pontificia Universidad Cat\\'olica de Chile. Av. Vicu\\~na Mackenna 4860, Santiago, Chile."", ""Centro de Astro-Ingenier\\'ia, Pontificia Universidad Cat\\'olica de Chile. Av. Vicuña Mackenna 4860, Santiago, Chile."", ""Instituto de Astronom\\'ia y F\\'isica del Espacio, CONICET-UBA, Casilla de Correos 67, Suc. 28, 1428 Buenos Aires, Argentina}""]"
Galaxy Protoclusters as Drivers of Cosmic Reionization: I. Bubble Overlap at Redshift z ~ 7 in LAGER-z7OD1,"['Santa Barbara, CA 93106, USA }', 'College Station, TX 77843-4242, USA}', 'Greenbelt, MD 20771, USA}', 'Pasadena, CA 91125, USA }', ""Ra\\'{u}l Bitr\\'{a}n 1200, La Serena, Chile}"", ""Pontificia Universidad Cat\\'{o}lica de Chile,"", 'Santiago 7820436, Chile}', 'Greenbelt, MD 20771, USA}', 'Greenbelt, MD 20771, USA}', ""Pontificia Universidad Cat\\'{o}lica de Chile,"", 'Santiago 7820436, Chile}']"
X-ray polarization of reflected thermal emission,[]
Inclusion of sulfur chemistry in a validated C/H/O/N chemical network: identification of key C/S coupling pathways,[]
The Leinster-Cobbold diversity index as a criterion for sub-clustering,[]
The Impact of Spectroscopic Redshift Errors on Cosmological Measurements,"[""\\affiliation[a]{Institute of Physics, Laboratory of Astrophysics, \\'Ecole Polytechnique F\\'ed\\'erale de Lausanne (EPFL), Observatoire de Sauverny, CH-1290 Versoix, Switzerland}"", '\\affiliation[b]{Kavli Institute for the Physics and Mathematics of the Universe (WPI), The University of Tokyo Institutes for Advanced Study (UTIAS), The University of Tokyo, Chiba 277-8583, Japan}', '\\affiliation[c]{Institut de Ciències del Cosmos (ICCUB), Universitat de Barcelona (UB), c. Martí i Franquès, 1, 08028 Barcelona, Spain.}', '\\affiliation[d]{Department of Astronomy, Tsinghua University, Beijing 100084, China}', ""\\affiliation[e]{IRFU, CEA, Universit\\'e Paris-Saclay, F-91191 Gif-sur-Yvette, France}"", '\\affiliation[f]{Institute of Astronomy, University of Cambridge, Madingley Rd, Cambridge CB3 0HA, UK}', '\\affiliation[g]{Kavli Institute for Cosmology Cambridge, Madingley Road, Cambridge CB3 0HA, UK}']"
Violent mergers revisited: The origin of the fastest stars in the Galaxy,"['Karl-Schwarzschild-Str. 1, D-85748, Garching, Germany', 'Department of Astronomy and Theoretical Astrophysics Center, University of California, Berkeley, CA 94720-3411, USA', 'Institut f\\""{u}r Physik und Astronomie, Universit\\""{a}t Potsdam, Haus 28, Karl-Liebknecht-Str. 24/25, 14476 Potsdam-Golm, Germany', 'School of Physics, Trinity College Dublin, College Green, Dublin 2, Ireland', 'Lawrence Livermore National Laboratory, Livermore, California 94550, USA', 'Center for Astrophysics | Harvard \\& Smithsonian, 60 Garden Street, Cambridge, MA 02138, USA', ""School of Mathematics and Physics, Queen's University Belfast, University Road, Belfast, BT7 1NN, UK"", 'Zentrum für Astronomie der Universität Heidelberg, Astronomisches Recheninstitut, M{\\""o}nchhofstrasse 12--14, 69120 Heidelberg, Germany', 'Heidelberger Institut f\\""{u}r Theoretische Studien, Schloss-Wolfsbrunnenweg 35, 69118 Heidelberg, Germany', 'Zentrum f\\""{u}r Astronomie der Universit\\""{a}t Heidelberg, Institut f\\""{u}r Theoretische Astrophysik, Philosophenweg 12, 69120 Heidelberg, Germany', 'Center for Interdisciplinary Exploration and Research in Astrophysics (CIERA), 1800 Sherman Ave., Evanston, IL 60201, USA', 'TUM Department of Physics, Technical University Munich, Garching, Germany']"
Fe XVIII-XXIV K beta Inner-shell Absorption Lines in the X-ray Spectra of Neutron Star and Black Hole Binaries with XRISM,"['\\sup{1}JAXA, ISAS, Sagamihara, Kanagawa, Japan.', '\\sup{2}The University of Tokyo, Bunkyo-ku, Tokyo, Japan.', '\\sup{3}Department of Physics, Technion, Haifa, Israel.', '\\sup{4}Department of Physics, Durham University, Durham, UK.', '\\sup{5}ESO, Garching bei M\\""{u}nchen, Germany.', '\\sup{6}STSci, Baltimore, MD, USA.', '\\sup{7}Royal Observatory of Belgium, Brussels, Belgium.', '\\sup{8}Universit\\`a degli Studi Roma Tre, Rome, Lazio, Italy.', '\\sup{9}University of Kentucky, Lexington, KY, USA.']"
FRB 20250316A: A Brilliant and Nearby One-Off Fast Radio Burst Localized to 13 parsec Precision,[]
"WASP-12, shrouded in mystery or just cold gas?","['$^{1}$School of Physics and Astronomy, University of St Andrews, North Haugh, St Andrews, Fife, Scotland KY16 YSS, UK\\\\', '$^{2}$School of Mathematics and Statistics, University of St Andrews, North Haugh, St Andrews, Fife, Scotland KY16 YSS, UK\\\\', '$^{3}$Institute for Astronomy, University of Edinburgh, Royal Observatory, Edinburgh EH9 3HJ, UK\\\\', '$^{4}$RWTH Aachen University, Sommerfeldstr. 16, 52074 Aachen, Germany\\\\']"
The S-PLUS 12-band photometry as a powerful tool for discovery and classification: ten cataclysmic variables in a proof-of-concept study,[]
