Title,Author,Affiliations,Status
"High-Frequency Power Spectrum of AGN NGC 4051 Revealed by NICER",B. Rani,"NASA Goddard Space Flight Center, Greenbelt, MD 20771, USA; Center for Space Science and Technology, University of Maryland Baltimore County, USA; Korea Astronomy and Space science Institute, 776 Daedeokdae-ro, Yuseong-gu, Daejeon 30455, Korea",Complete
"High-Frequency Power Spectrum of AGN NGC 4051 Revealed by NICER",Jungeun Kim,"Korea Advanced Institute of Science and Technology, 291 Daehak-ro, Yuseong-gu, Daejeon 34141, Republic of Korea",Complete
"High-Frequency Power Spectrum of AGN NGC 4051 Revealed by NICER",I. Papadakis,"Department of Physics and Institute of Theoretical and Computational Physics, University of Crete, 71003 Heraklion, Greece; Institute of Astrophysics, FORTH, GR-71110 Heraklion, Greece",Complete
"High-Frequency Power Spectrum of AGN NGC 4051 Revealed by NICER",K. C. Gendreau,"NASA Goddard Space Flight Center, Greenbelt, MD 20771, USA",Complete
"High-Frequency Power Spectrum of AGN NGC 4051 Revealed by NICER",M. Masterson,"MIT Kavli Institute for Astrophysics and Space Research, Massachusetts Institute of Technology, Cambridge, MA 02139, USA",Complete
"High-Frequency Power Spectrum of AGN NGC 4051 Revealed by NICER",K. Hamaguchi,"NASA Goddard Space Flight Center, Greenbelt, MD 20771, USA",Complete
"High-Frequency Power Spectrum of AGN NGC 4051 Revealed by NICER",E. Kara,"MIT Kavli Institute for Astrophysics and Space Research, Massachusetts Institute of Technology, Cambridge, MA 02139, USA",Complete
"High-Frequency Power Spectrum of AGN NGC 4051 Revealed by NICER",S.-S. Lee,"Korea Astronomy and Space science Institute, 776 Daedeokdae-ro, Yuseong-gu, Daejeon 30455, Korea",Complete
"High-Frequency Power Spectrum of AGN NGC 4051 Revealed by NICER",R. Mushotzky,"Department of Astronomy, University of Maryland, College Park, MD 20742, USA",Complete
"VEGA: Voids idEntification using Genetic Algorithm",Parsa Ghafour,"Department of Astronomy and High Energy Physics, Kharazmi University, 15719-14911, Tehran, Iran",Complete
"VEGA: Voids idEntification using Genetic Algorithm",Saeed Tavasoli,"Department of Astronomy and High Energy Physics, Kharazmi University, 15719-14911, Tehran, Iran",Complete
"VEGA: Voids idEntification using Genetic Algorithm",Mohammad Reza Shojaei,"Department of Astronomy and High Energy Physics, Kharazmi University, 15719-14911, Tehran, Iran",Complete
"Characterization of a fiber laser hydrophone for acoustic neutrino detection",E. J. Buis,"TNO, Netherlands Organisation for Applied Sciences, Delft, The Netherlands; Nikhef, National Institute for Subatomic Physics, Amsterdam, The Netherlands",Complete
"Characterization of a fiber laser hydrophone for acoustic neutrino detection",A. M. von Benda-Beckmann,"TNO, Netherlands Organisation for Applied Sciences, Delft, The Netherlands",Complete
"Characterization of a fiber laser hydrophone for acoustic neutrino detection",E. Doppenberg,"TNO, Netherlands Organisation for Applied Sciences, Delft, The Netherlands",Complete
"Characterization of a fiber laser hydrophone for acoustic neutrino detection",J. Dorant,"TNO, Netherlands Organisation for Applied Sciences, Delft, The Netherlands",Complete
"Characterization of a fiber laser hydrophone for acoustic neutrino detection",T.H. Jansen,"TNO, Netherlands Organisation for Applied Sciences, Delft, The Netherlands",Complete
"Characterization of a fiber laser hydrophone for acoustic neutrino detection",P. Toet,"TNO, Netherlands Organisation for Applied Sciences, Delft, The Netherlands",Complete
"Characterization of a fiber laser hydrophone for acoustic neutrino detection",P. Verhooren,"TNO, Netherlands Organisation for Applied Sciences, Delft, The Netherlands",Complete
"Characterization of a fiber laser hydrophone for acoustic neutrino detection",J. de Vreugd,"TNO, Netherlands Organisation for Applied Sciences, Delft, The Netherlands",Complete
"The case for large-scale AGN feedback in galaxy formation simulations: insights from XFABLE",Leah Bigwood,"Institute of Astronomy, University of Cambridge, Madingley Road, Cambridge, CB3 0HA, UK; Kavli Institute for Cosmology (KICC), University of Cambridge, Madingley Road, Cambridge CB3 0HA, UK",Complete
"The case for large-scale AGN feedback in galaxy formation simulations: insights from XFABLE",Martin A. Bourne,"Institute of Astronomy, University of Cambridge, Madingley Road, Cambridge, CB3 0HA, UK; Kavli Institute for Cosmology (KICC), University of Cambridge, Madingley Road, Cambridge CB3 0HA, UK; Centre for Astrophysics Research, Department of Physics, Astronomy and Mathematics, University of Hertfordshire, College Lane, Hatfield, AL10 9AB, UK",Complete
"The case for large-scale AGN feedback in galaxy formation simulations: insights from XFABLE",Vid Iršič,"Kavli Institute for Cosmology (KICC), University of Cambridge, Madingley Road, Cambridge CB3 0HA, UK; SISSA - International School for Advanced Studies, Trieste, Italy; IFPU, Institute for Fundamental Physics of the Universe, Trieste, Italy; INFN, Sezione di Trieste, Trieste, Italy; INAF - Osservatorio Astronomico di Trieste, Trieste, Italy",Complete
"The case for large-scale AGN feedback in galaxy formation simulations: insights from XFABLE",Alexandra Amon,"Department of Astrophysical Sciences, Princeton University, Peyton Hall, Princeton, NJ 08544, USA; Kavli Institute for Cosmology (KICC), University of Cambridge, Madingley Road, Cambridge CB3 0HA, UK",Complete
"The case for large-scale AGN feedback in galaxy formation simulations: insights from XFABLE",Debora Sijacki,"Institute of Astronomy, University of Cambridge, Madingley Road, Cambridge, CB3 0HA, UK; Kavli Institute for Cosmology (KICC), University of Cambridge, Madingley Road, Cambridge CB3 0HA, UK",Complete
"Looking into the faintEst WIth MUSE (LEWIS): Exploring the nature of ultra-diffuse galaxies in the Hydra-I cluster II. Stellar kinematics and dynamical masses",Chiara Buttitta,"INAF - Astronomical Observatory of Capodimonte, Naples, Italy",Complete
"Looking into the faintEst WIth MUSE (LEWIS): Exploring the nature of ultra-diffuse galaxies in the Hydra-I cluster II. Stellar kinematics and dynamical masses",Enrichetta Iodice,"INAF - Astronomical Observatory of Capodimonte, Naples, Italy",Complete
"Looking into the faintEst WIth MUSE (LEWIS): Exploring the nature of ultra-diffuse galaxies in the Hydra-I cluster II. Stellar kinematics and dynamical masses",Goran Doll,"INAF - Astronomical Observatory of Capodimonte, Naples, Italy; University of Naples Federico II, Naples, Italy",Complete
"Looking into the faintEst WIth MUSE (LEWIS): Exploring the nature of ultra-diffuse galaxies in the Hydra-I cluster II. Stellar kinematics and dynamical masses",Johanna Hartke,"Finnish Centre for Astronomy with ESO (FINCA), FI-20014 University of Turku, Finland; Tuorla Observatory, Department of Physics and Astronomy, FI-20014 University of Turku, Finland",Complete
"Looking into the faintEst WIth MUSE (LEWIS): Exploring the nature of ultra-diffuse galaxies in the Hydra-I cluster II. Stellar kinematics and dynamical masses",Michael Hilker,"European Southern Observatory, Karl-Schwarzschild-Strasse 2, 85748 Garching bei München, Germany",Complete
"Looking into the faintEst WIth MUSE (LEWIS): Exploring the nature of ultra-diffuse galaxies in the Hydra-I cluster II. Stellar kinematics and dynamical masses",Duncan A. Forbes,"Centre for Astrophysics & Supercomputing, Swinburne University of Technology, Hawthorn VIC 3122, Australia",Complete
"Looking into the faintEst WIth MUSE (LEWIS): Exploring the nature of ultra-diffuse galaxies in the Hydra-I cluster II. Stellar kinematics and dynamical masses",Enrico M. Corsini,"INAF - Osservatorio Astronomico di Padova, Vicolo dell’Osservatorio 5, I-35122 Padova, Italy; Dipartimento di Fisica e Astronomia G. Galilei, Università di Padova, vicolo dell'Osservatorio 3, I-35122 Padova, Italy",Complete
"Looking into the faintEst WIth MUSE (LEWIS): Exploring the nature of ultra-diffuse galaxies in the Hydra-I cluster II. Stellar kinematics and dynamical masses",Luca Rossi,"INAF - Astronomical Observatory of Capodimonte, Naples, Italy; University of Naples Federico II, Naples, Italy",Complete
"Looking into the faintEst WIth MUSE (LEWIS): Exploring the nature of ultra-diffuse galaxies in the Hydra-I cluster II. Stellar kinematics and dynamical masses",Magda Arnaboldi,"European Southern Observatory, Karl-Schwarzschild-Strasse 2, 85748 Garching bei München, Germany",Complete
"Looking into the faintEst WIth MUSE (LEWIS): Exploring the nature of ultra-diffuse galaxies in the Hydra-I cluster II. Stellar kinematics and dynamical masses",Michele Cantiello,"INAF - Astronomical Observatory of Abruzzo, Via Maggini, 64100, Teramo, Italy",Complete
