original_index,arxiv_id,extracted_authors,extracted_affiliations,extracted_countries,first_author_country
0,2501.00089,"[""John F. Wu""]","[""Space Telescope Science Institute, 3700 San Martin Dr, Baltimore, MD 21218; Department of Physics & Astronomy, Johns Hopkins University, 3400 N Charles St, Baltimore, MD 21218; Department of Computer Science, Johns Hopkins University, 3400 N Charles St, Baltimore, MD 21218""]","[""USA""]",USA
1,2501.12788,"[""Patrick O'Neill"", ""Adam Ingram"", ""Edward Nathan"", ""Guglielmo Mastroserio"", ""Michiel van der Klis"", ""Matteo Lucchini"", ""Jake Mitchell""]","[""School of Mathematics, Statistics and Physics, Newcastle University, Herschel Building, Newcastle-upon-Tyne, NE1 7RU, UK"", ""School of Mathematics, Statistics and Physics, Newcastle University, Herschel Building, Newcastle-upon-Tyne, NE1 7RU, UK"", ""California Institute of Technology, Pasadena, CA 91125, USA"", ""Dipartimento di Fisica, Universit`a degli Studi di Milano, Via Celoria 16, I-20133 Milano, Italy"", ""Anton Pannekoek Institute for Astronomy, University of Amsterdam, Science Park 904, 1098 XH Amsterdam, The Netherlands"", ""Anton Pannekoek Institute for Astronomy, University of Amsterdam, Science Park 904, 1098 XH Amsterdam, The Netherlands"", ""School of Mathematics, Statistics and Physics, Newcastle University, Herschel Building, Newcastle-upon-Tyne, NE1 7RU, UK; Leibniz-Institut f\""ur Astrophysik Potsdam (AIP), An der Sternwarte 16, 14482 Potsdam, Germany""]","[""UK"", ""UK"", ""USA"", ""Italy"", ""Netherlands"", ""Netherlands"", ""UK; Germany""]",UK
2,2501.12781,"[""G. Peron"", ""G. Morlino"", ""S. Gabici"", ""E. Amato""]","[""Istituto Nazionale di Astrofisica -- Osservatorio Astrofisico di Arcetri, Largo Enrico Fermi 5, 50125, Firenze, Italy"", ""Istituto Nazionale di Astrofisica -- Osservatorio Astrofisico di Arcetri, Largo Enrico Fermi 5, 50125, Firenze, Italy"", ""Universit\u00c3\u00a9 de Paris, CNRS, Astroparticule et Cosmologie F-75013 Paris, France"", ""Istituto Nazionale di Astrofisica -- Osservatorio Astrofisico di Arcetri, Largo Enrico Fermi 5, 50125, Firenze, Italy""]","[""Italy"", ""Italy"", ""France"", ""Italy""]",Italy
3,2501.12767,"[""G. Peron"", ""G. Morlino"", ""S. Gabici"", ""E. Amato""]","[""Istituto Nazionale di Astrofisica -- Osservatorio Astrofisico di Arcetri, Largo Enrico Fermi 5, 50125, Firenze, Italy"", ""Istituto Nazionale di Astrofisica -- Osservatorio Astrofisico di Arcetri, Largo Enrico Fermi 5, 50125, Firenze, Italy"", ""Universit\u00c3\u00a9 de Paris, CNRS, Astroparticule et Cosmologie F-75013 Paris, France"", ""Istituto Nazionale di Astrofisica -- Osservatorio Astrofisico di Arcetri, Largo Enrico Fermi 5, 50125, Firenze, Italy""]","[""Italy"", ""Italy"", ""France"", ""Italy""]",Italy
4,2501.12760,"[""Jie Liu"", ""Zhi Li"", ""Juntai Shen""]","[""Shanghai Astronomical Observatory, Chinese Academy of Sciences, 80 Nandan Road, Shanghai 200030, P.R. China; School of Astronomy and Space Sciences, University of Chinese Academy of Sciences, 19A Yuquan Road, Beijing 100049, P.R. China"", ""Shanghai Key Lab for Astrophysics, Shanghai Normal University, 100 Guilin Road, Shanghai 200234, People's Republic of China; Department of Astronomy, School of Physics and Astronomy, Shanghai Jiao Tong University, 800 Dongchuan Road, Shanghai 200240, People's Republic of China"", ""Department of Astronomy, School of Physics and Astronomy, Shanghai Jiao Tong University, 800 Dongchuan Road, Shanghai 200240, People's Republic of China; Key Laboratory for Particle Astrophysics and Cosmology (MOE) / Shanghai Key Laboratory for Particle Physics and Cosmology, Shanghai 200240, People's Republic of China""]","[""China"", ""China"", ""China""]",China
5,2501.12758,"[""Xiaolong He"", ""Guoliang L\""{u}"", ""Chunhua Zhu"", ""Lin Li"", ""Helei Liu"", ""Sufen Guo"", ""Xizhen Lu"", ""Lei Li"", ""Hao Wang""]","[""School of Physical Science and Technology, Xinjiang University, Urumqi 830046, People's Republic of China; Xinjiang Astronomical Observatory, Chinese Academy of Science, 150 Science 1-Street, Urumqi 830011, People\u00ca\u00bcs Republic of China"", ""School of Physical Science and Technology, Xinjiang University, Urumqi 830046, People's Republic of China; Xinjiang Astronomical Observatory, Chinese Academy of Science, 150 Science 1-Street, Urumqi 830011, People\u00ca\u00bcs Republic of China"", ""School of Physical Science and Technology, Xinjiang University, Urumqi 830046, People's Republic of China; Xinjiang Astronomical Observatory, Chinese Academy of Science, 150 Science 1-Street, Urumqi 830011, People\u00ca\u00bcs Republic of China"", ""School of Physical Science and Technology, Xinjiang University, Urumqi 830046, People's Republic of China"", ""School of Physical Science and Technology, Xinjiang University, Urumqi 830046, People's Republic of China"", ""School of Physical Science and Technology, Xinjiang University, Urumqi 830046, People's Republic of China"", ""School of Physical Science and Technology, Xinjiang University, Urumqi 830046, People's Republic of China"", ""School of Physical Science and Technology, Xinjiang University, Urumqi 830046, People's Republic of China"", ""School of Physical Science and Technology, Xinjiang University, Urumqi 830046, People's Republic of China""]","[""China"", ""China"", ""China"", ""China"", ""China"", ""China"", ""China"", ""China"", ""China""]",China
6,2501.12757,"[""C. Martin Gaskell""]","[""Department of Astronomy and Astrophysics, University of California, Santa Cruz, CA 95064""]","[""USA""]",USA
7,2501.12743,"[""G. Castell\u00f3"", ""M. Luna"", ""J. Terradas""]","[""Departament de F\u00edsica, Universitat de les Illes Balears (UIB), E-07122 Palma de Mallorca, Spain; Institute of Applied Computing & Community Code (IAC3), UIB, E-07122 Palma de Mallorca, Spain"", ""Departament de F\u00edsica, Universitat de les Illes Balears (UIB), E-07122 Palma de Mallorca, Spain; Institute of Applied Computing & Community Code (IAC3), UIB, E-07122 Palma de Mallorca, Spain"", ""Departament de F\u00edsica, Universitat de les Illes Balears (UIB), E-07122 Palma de Mallorca, Spain; Institute of Applied Computing & Community Code (IAC3), UIB, E-07122 Palma de Mallorca, Spain""]","[""Spain"", ""Spain"", ""Spain""]",Spain
8,2501.12734,"[""Piyush Sharda"", ""Shyam H. Menon"", ""Roman Gerasimov"", ""Volker Bromm"", ""Blakesley Burkhart"", ""Lionel Haemmerl\u00c3\u00a9"", ""Lisanne van Veenen"", ""Benjamin D. Wibking""]","[""Leiden Observatory, Leiden University, P.O. Box 9513, 2300 RA Leiden, The Netherlands"", ""Department of Physics and Astronomy, Rutgers University, Piscataway, NJ 08854, USA; Center for Computational Astrophysics, Flatiron Institute, New York, NY 10010, USA"", ""Department of Physics and Astronomy, University of Notre Dame, Notre Dame, IN 46556, USA"", ""Department of Astronomy, University of Texas, Austin, TX 78712, USA; Weinberg Institute for Theoretical Physics, University of Texas, Austin, TX 78712, USA"", ""Department of Physics and Astronomy, Rutgers University, Piscataway, NJ 08854, USA; Center for Computational Astrophysics, Flatiron Institute, New York, NY 10010, USA"", ""Department of Astronomy, University of Geneva, CH-1290 Versoix, Switzerland"", ""Leiden Observatory, Leiden University, P.O. Box 9513, 2300 RA Leiden, The Netherlands"", ""Department of Physics and Astronomy, Michigan State University, East Lansing, MI 48824, USA""]","[""Netherlands"", ""USA"", ""USA"", ""USA"", ""USA"", ""Switzerland"", ""Netherlands"", ""USA""]",Netherlands
9,2501.12719,"[""Riccardo Ferrazzoli""]","[""INAF Istituto di Astrofisica e Planetologia Spaziali, Via del Fosso del Cavaliere 100, 00133 Roma, Italy""]","[""Italy""]",Italy
