title,abstract,authors,figures,pages,tables,pdf_link,primary_subject,secondary_subjects,submitted_journal,published_journal,keywords,date,reason_removed
Neutron star evolution by combining discontinuous Galerkin and finite volume methods,"We present here a new hybrid scheme that combines a discontinuous Galerkin (DG) method with finite volume (FV) and finite difference (FD) methods. The computational mesh is divided into smaller elements that touch but do not overlap. Like a pure DG method, our new hybrid scheme requires information exchange only at the surface of neighboring elements. This avoids the need for ghostzones that are usually many points deep in traditional FV implementations. Furthermore, unlike traditional FV implementations, that require information exchange between each element and its 26 surrounding neighbors on non-cuboid meshes, our new hybrid method exchanges information only between each element and its six nearest neighbors. Through this reduction in communication, we aim to retain the high scalability of DG when using large supercomputers. The goal is to use DG in elements with smooth matter fields and to fall back onto the more robust FV/FD method in elements that contain non-smooth shocks or star surfaces. For this we devise trouble criteria to decide whether an element should be evolved with DG or FV/FD. We use the Nmesh program to implement and test the new scheme. We successfully evolve various single neutron star cases. These include the challenging cases of a neutron star initially in an unstable equilibrium migrating to a stable configuration and a boosted neutron star. These cases are simulated for the first time here in full 3D with general relativistic hydrodynamics using DG methods. We also describe additional numerical methods, such as the limiters and the atmosphere treatment we need for our simulations.","['Ananya Adhikari', 'Wolfgang Tichy', 'Liwei Ji', 'Amit Poudel']",20.0,34.0,0.0,arxiv.org/pdf/2502.07204,High Energy Astrophysical Phenomena,['General Relativity and Quantum Cosmology'],,,[],2025-02-12,Ghost/Extra (Not in Pure List)
The Luminosity of the Darkness: Schechter function in dark sirens,"Gravitational waves (GWs) offer a novel avenue for probing the Universe. One of their exciting applications is the independent measurement of the Hubble constant, $H_0$, using dark standard sirens, which combine GW signals with galaxy catalogues considering that GW events are hosted by galaxies. However, due to the limited reach of telescopes, galaxy catalogues are incomplete at high redshifts. The commonly used GLADE+ is complete only up to redshift $z=0.1$, necessitating a model accounting for the galaxy luminosity distribution accounting for the selection function of galaxies, typically described by the Schechter function. In this paper, we examine the influence of the Schechter function model on dark sirens, focusing on its redshift evolution and its impact on $H_0$ and rate parameters measurements. We find that neglecting the evolution of the Schechter function can influence the prior in redshift on GWs, which has particularly high impact for distant GW events with limited galaxy catalogue support. Moreover, conducting a joint estimation of $H_0$ and the rate parameters, we find that allowing them to vary fixes the bias in $H_0$ but the rate parameter $\gamma$ depends on the evolving Schechter function. Our results underscore the importance of incorporating an evolving Schechter function to account for changes in galaxy populations over cosmic time, as this impacts rate parameters to which $H_0$ is sensitive.","['Cezary Turski', 'Maria Lisa Brozzetti', 'Gergely Dálya', 'Michele Punturo', 'Archisman Ghosh']",9.0,8.0,2.0,arxiv.org/pdf/2505.13568,Cosmology and Nongalactic Astrophysics,['General Relativity and Quantum Cosmology'],,,"['gravitational waves – cosmological parameters – galaxies: luminosity function', 'mass function 1 INTRODUCTION Gravitational wave (GW) astronomy is a novel way of probing the Universe']",2025-05-21,Duplicate
Forward vs Backward: Improving BAO Constraints with Field-Level Inference,"We present results of field-level inference of the baryon acoustic oscillation (BAO) scale $r_s$ on rest-frame dark matter halo catalogs. Our field-level constraint on $r_s$ is obtained by explicitly sampling the initial conditions along with the bias and noise parameters via the LEFTfield EFT-based forward model. Comparing with a standard reconstruction pipeline applied to the same data and over the same scales, the field-level constraint on the BAO scale improves by a factor of $\sim 1.2-1.4$ over standard BAO reconstruction. We point to a surprisingly simple source of the additional information.","['Ivana Babić', 'Fabian Schmidt', 'Beatriz Tucci']",8.0,15.0,0.0,arxiv.org/pdf/2505.13588,Cosmology and Nongalactic Astrophysics,,,,[],2025-05-21,Duplicate
Distinguishing the origin of eccentric black-hole mergers with gravitational-wave spin measurements,"It remains an open question whether the binary black hole mergers observed with gravitational-wave detectors originate from the evolution of isolated massive binary stars or were dynamically driven by perturbations from the environment. Recent evidence for non-zero orbital eccentricity in a handful of events is seen as support for a non-negligible fraction of the population experiencing external driving of the merger. However, it is unclear from which formation channel eccentric binary black-hole mergers would originate: dense star clusters, hierarchical field triples, active galactic nuclei, or wide binaries in the Galaxy could all be culprits. Here, we investigate whether the spin properties of eccentric mergers could be used to break this degeneracy. Using the fact that different formation channels are predicted to either produce eccentric mergers with mutually aligned or randomly oriented black-hole spins, we investigate how many confident detections would be needed in order for the two models to be statistically distinguishable. If a few percent of binary black hole mergers retain measurable eccentricity in the bandwidth of ground-based detectors, we report a $\sim40\,\%$ chance that we could confidently distinguish both models after the fifth observing run of the LIGO-Virgo-KAGRA detector network, $\sim80\,\%$ for LIGO A#, and $\sim98\,\%$ for the Einstein Telescope and Cosmic Explorer.","['Jakob Stegmann', 'Davide Gerosa', 'Isobel Romero-Shaw', 'Giulia Fumagalli', 'Hiromichi Tagawa', 'Lorenz Zwick']",7.0,11.0,0.0,arxiv.org/pdf/2505.13589,High Energy Astrophysical Phenomena,"['Solar and Stellar Astrophysics', 'General Relativity and Quantum Cosmology']",,,[],2025-05-21,Duplicate
Formation and evolution of boxy/peanut bulges in the Auriga cosmological simulations,"Boxy/peanut (b/p) or X-shaped bulges have been extensively explored with theory and numerical simulations of isolated galaxies. However, it is only recently that advances in hydrodynamical cosmological simulations have made it possible to explore b/p bulges in a cosmological setting, with much remaining to be understood about their formation and evolution. By using the Auriga magneto-hydrodynamical cosmological zoom-in simulations, we characterise the structural parameters of b/p bulges and how they form and evolve throughout cosmic history. We develop a method for estimating the b/p strength that allows us to identify the formation time and size of these structures. We find that b/p bulges in Auriga form between $\sim 1.1-1.6\, \mathrm Gyr$ after bar formation, following a `buckling' episode; some galaxies undergo multiple bucklings and events of b/p growth, with some b/p structures `dissolving' between buckling events. We find that at $z=0$, the b/p bulges have an extent of almost half the bar length. Finally, we analyse the evolution of the b/p fraction over redshift, finding that at $z=0$, two thirds of galaxies host a bar, and of these, $45$ per cent have a b/p. This b/p fraction is within the observed range at $z=0$, although on the low end as compared to some observational studies. The b/p fraction decreases to $20$ per cent at $z=0.5$, and falls to zero at $z \sim 1$; this is in line with the observed trend of declining b/p fraction with redshift. We discuss possible culprits for the apparent mismatch in b/p occurrence between observations and cosmological simulations, what causes them to form (or not) in these simulations, and what this might reveal about models of galaxy formation and evolution.","['Paula D. López', 'Francesca Fragkoudi', 'Sofía A. Cora', 'Cecilia Scannapieco', 'Rüdiger Pakmor', 'Robert J. J. Grand', 'Facundo Gómez', 'Federico Marinacci']",18.0,19.0,2.0,arxiv.org/pdf/2505.13590,Astrophysics of Galaxies,,,"MNRAS, Volume 540, Issue 3, July 2025, Pages from 2031 to 2048","['with central bulges being one of the most prominent ones', 'method: numerical – galaxies: bars – galaxies: bulge – cosmology: theory 1 INTRODUCTION Galaxies exhibit a variety of structural components']",2025-05-21,Duplicate
Modeling Galaxy Surveys with Hybrid SBI,"Simulation-based inference (SBI) has emerged as a powerful tool for extracting cosmological information from galaxy surveys deep into the non-linear regime. Despite its great promise, its application is limited by the computational cost of running simulations that can describe the increasingly-large cosmological datasets. Recent work proposed a hybrid SBI framework (HySBI), which combines SBI on small-scales with perturbation theory (PT) on large-scales, allowing information to be extracted from high-resolution observations without large-volume simulations. In this work, we lay out the HySBI framework for galaxy clustering, a key step towards its application to next-generation datasets. We study the choice of priors on the parameters for modeling galaxies in PT analysis and in simulation-based analyses, as well as investigate their cosmology dependence. By jointly modeling large- and small-scale statistics and their associated nuisance parameters, we show that HySBI can obtain 20\% and 60\% tighter constraints on $\Omega_m$ and $\sigma_8$, respectively, compared to traditional PT analyses, thus demonstrating the efficacy of this approach to maximally extract information from upcoming spectroscopic datasets.","['Gemma Zhang', 'Chirag Modi', 'Oliver H. E. Philcox']",5.0,14.0,0.0,arxiv.org/pdf/2505.13591,Cosmology and Nongalactic Astrophysics,"['Astrophysics of Galaxies', 'Instrumentation and Methods for Astrophysics', 'General Relativity and Quantum Cosmology', 'High Energy Physics - Phenomenology']",,,"['Astrostatistics (1882) 1', 'Cosmology (343)', 'Large-scale structure of the universe (902)']",2025-05-21,Duplicate
The High-redshift Blazar MG3 J163554+3629: Physical Properties and the Enigma of Its Unexpected Supermassive Black Hole Growth,"There is general consensus that active galactic nuclei (AGNs) derive their radiating power from a supermassive black hole (SMBH) that accretes matter. Yet, their precise powering mechanisms and the resulting growth of the SMBH are poorly understood, especially for AGNs at high redshift. Blazars are AGNs pointing their jet toward the observer, thus being detectable from radio through gamma rays at high redshift due to Doppler boosting. The blazar MG3 J163554+3629 is located at redshift z=3.65 and it is a flat spectrum radio quasar (FSRQ). In this work, we show the results of the modeling of its spectral energy distribution (SED) from radio to gamma rays with a one-zone leptonic model. We estimate the uncertainties through a Markov Chain Monte Carlo approach. As a result, we infer the black hole mass M_BH = 1.1(+0.2,-0.1) x 10^9 Msun and a modest magnetic field of B = 6.56(+0.13,-0.09) x 10^-2 G in line with the Compton dominance observed in high-redshift FSRQs. The emitting region is outside the broad line region but within the region of the dust torus radius. The rather small accretion efficiency of eta=0.083 is not solely inferred through the SED modeling but also through the energetics. An evolution study suggests that in an Eddington-limited accretion process the SMBH did not have time enough to grow from an initial seed mass of ~10^6 Msun at z~30 into a mass of M_BH ~ 10^9 Msun at z=3.65. Faster mass growth might be obtained in a super-Eddington process throughout frequent episodes. Alternative scenarios propose that the existence of the jet itself can facilitate a more rapid growth.","['Jose Maria Sanchez Zaballa', 'Eugenio Bottacini', 'Andrea Tramacere']",4.0,13.0,5.0,arxiv.org/pdf/2505.13593,Astrophysics of Galaxies,['Cosmology and Nongalactic Astrophysics'],,,['Flat-spectrum radio quasars: individual: MG3 J163554 +3629 – Active galactic nuclei – High- redshift galaxies – Supermassive black holes 1'],2025-05-21,Duplicate
Revealing the intricacies of radio galaxies and filaments in the merging galaxy cluster Abell 2255. I. Insights from deep LOFAR-VLBI sub-arcsecond resolution images,"High sensitivity of modern interferometers is revealing a plethora of filaments surrounding radio galaxies, especially in galaxy cluster environments. The morphology and spectral characteristics of these thin structures require the combination of high-resolution and low frequency observations, which is best obtained using the LOw Frequency ARray (LOFAR) international stations. In this paper, we aim to detect and characterize non-thermal filaments observed close or as part of the radio galaxies in Abell 2255 using deep, LOFAR-VLBI observations at 144 MHz. These structures can be used to disentangle possible scenarios for the origin of the non-thermal filaments and connection to the motion of the host galaxy within the dense and turbulent intracluster medium (ICM), and consequent interaction between the ICM and radio jets. Combining multiple observations, we produced the deepest images ever obtained with LOFAR-VLBI targeting a galaxy cluster, using 56 hours of observations, reaching $0.3-0.5""$ resolution. We detailed throughout the paper the calibration and imaging strategy for the different targets, as well as the multitude of morphological features discovered. Thanks to the high-sensitivity of LOFAR-VLBI, we revealed unprecedented details for the main cluster radio galaxies, recovering in most cases also their more extended structure observed only at such low frequencies. In particular, we focused on the Original Tailed Radio Galaxy (Original TRG) where we distinguished many filaments constituting its tail with varying lengths ($80-110$ kpc) and widths ($3-10$ kpc). The final radio images showcase the potential of deep, high-resolution observations for galaxy clusters. With such approach, we enabled the study of these thin, elongated radio filaments: after being discovered, these filaments now require spectral studies to determine their formation mechanisms.","['E. De Rubeis', 'M. Bondi', 'A. Botteon', 'R. J. van Weeren', 'J. M. G. H. J. de Jong', 'L. Rudnick', 'G. Brunetti', 'K. Rajpurohit', 'C. Gheller', 'H. J. A. Röttgering']",8.0,11.0,2.0,arxiv.org/pdf/2505.13595,Astrophysics of Galaxies,['Cosmology and Nongalactic Astrophysics'],A&A,,['Galaxies: clusters: individual:Abell 2255 – radiation mechanisms:non-thermal – techniques: high angularresolution – radio continuum: galaxies 1'],2025-05-21,Duplicate
FAUST XXIV. Large dust grains in the protostellar outflow cavity walls of the Class I binary L1551 IRS5,"Planet formation around young stars requires the growth of interstellar dust grains from mm-sized particles to km-sized planetesimals. Numerical simulations have shown that large ($\sim$mm-sized) grains found in the inner envelope of young protostars could be lifted from the disc via winds. However we are still lacking unambiguous evidence for large grains in protostellar winds/outflows. We investigate dust continuum emission in the envelope of the Class I binary L1551 IRS5 in the Taurus molecular cloud, aiming to identify observational signatures of grain growth, such as variations in the dust emissivity index ($\beta_{\rm mm}$). In this context, we present new, high-angular resolution (50 au), observations of thermal dust continuum emission at 1.3 mm and 3 mm in the envelope ($\sim$3000 au) of L1551 IRS5 , obtained as part of the ALMA-FAUST Large Program. We analyse dust emission along the cavity walls of the CO outflow, extended up to $\sim$1800 au. We find an H$_2$ volume density $>2\times10^5$ cm$^{-3}$, a dust mass of $\sim$58 M$_\oplus$, and $\beta_{\rm mm}$<1, implying the presence of grains $\sim$10$^3$ times larger than the typical ISM sizes. We provide the first spatially resolved observational evidence of large grains within an outflow cavity wall. Our results suggest that these grains have been transported from the inner disc to the envelope by protostellar winds and may subsequently fall back into the outer disc by gravity and/or via accretion streamers. This cycle provides longer time for grains to grow, playing a crucial role in the formation of planetesimals.","['G. Sabatini', 'E. Bianchi', 'C. J. Chandler', 'L. Cacciapuoti', 'L. Podio', 'M. J. Maureira', 'C. Codella', 'C. Ceccarelli', 'N. Sakai', 'L. Testi', 'C. Toci', 'B. Svoboda', 'T. Sakai', 'M. Bouvier', 'P. Caselli', 'N. Cuello', 'M. De Simone', 'I. Jímenez-Serra', 'D. Johnstone', 'L. Loinard', 'Z. E. Zhang', 'S. Yamamoto']",4.0,8.0,1.0,arxiv.org/pdf/2505.13596,Astrophysics of Galaxies,['Solar and Stellar Astrophysics'],,,"['Stars: formation – planets and satellites: formation – circumstellar matter – stars: low-mass – dust', 'extinction – Stars: winds', 'outflows 1']",2025-05-21,Duplicate
Constraining cosmic ray transport models using circumgalactic medium properties and observables,"Cosmic rays (CRs) are a pivotal non-thermal component of galaxy formation and evolution. However, the intricacies of CR physics, particularly how they propagate in the circumgalactic medium (CGM), remain largely unconstrained. In this work, we study CGM properties in FIRE-2 (Feedback In Realistic Environments) simulations of the same Milky Way (MW)-mass halo at $z=0$ with different CR transport models that produce similar diffuse $\sim$ GeV $\gamma$-ray emission. We study the gas morphology and thermal properties, and generate synthetic observations of rest-frame UV ion absorption columns and X-ray emission. CRs lower galaxy masses and star formation rates (SFRs) while supporting more cool CGM gas, which boosts the HI and OVI column densities in the CGM, bringing simulations more in line with observations, but there can be large differences between CR transport models and resolution levels. X-ray emission within and close to galaxies is consistent with thermal (free-free and metal-line) emission plus X-ray binaries, while more extended ($\sim 100\,$kpc) CGM emission is potentially dominated by inverse Compton (IC) scattering, motivating future work on the spatially resolved X-ray profiles. Although comparisons with observations are sensitive to sample selection and mimicking the details of observations, and our analysis did not result in strong constraints on CR models, the differences between simulations are significant and could be used as a framework for future studies.","['Yue Samuel Lu', 'Dušan Kereš', 'Philip F. Hopkins', 'Sam B. Ponnada', 'Claude-André Faucher-Giguére', 'Cameron B. Hummels']",9.0,18.0,1.0,arxiv.org/pdf/2505.13597,Astrophysics of Galaxies,,,,"['the gas that fills the space be- tween a galaxy and the boundary of its host halo', 'is one of the most importantandyetcomplicatedpartsinbuildingourunderstandingof galaxyevolution', 'galaxies: evolution – circumgalactic medium – cosmic rays – MHD – methods: numerical 1 INTRODUCTION The circumgalactic medium (CGM)']",2025-05-21,Duplicate
