paper,author,affiliations
High-Frequency Power Spectrum of AGN NGC 4051 Revealed by NICER,B. Rani,"NASA Goddard Space Flight Center, Greenbelt, MD 20771, USA; Center for Space Science and Technology, University of Maryland Baltimore County, USA; Korea Astronomy and Space Science Institute, 776 Daedeokdae-ro, Yuseong-gu, Daejeon 30455, Korea"
High-Frequency Power Spectrum of AGN NGC 4051 Revealed by NICER,Jungeun Kim,"Korea Advanced Institute of Science and Technology, 291 Daehak-ro, Yuseong-gu, Daejeon 34141, Republic of Korea"
High-Frequency Power Spectrum of AGN NGC 4051 Revealed by NICER,I. Papadakis,"Department of Physics and Institute of Theoretical and Computational Physics, University of Crete, 71003 Heraklion, Greece; Institute of Astrophysics, FORTH, GR-71110 Heraklion, Greece"
High-Frequency Power Spectrum of AGN NGC 4051 Revealed by NICER,K. C. Gendreau,"NASA Goddard Space Flight Center, Greenbelt, MD 20771, USA"
High-Frequency Power Spectrum of AGN NGC 4051 Revealed by NICER,M. Masterson,"MIT Kavli Institute for Astrophysics and Space Research, Massachusetts Institute of Technology, Cambridge, MA 02139, USA"
High-Frequency Power Spectrum of AGN NGC 4051 Revealed by NICER,K. Hamaguchi,"NASA Goddard Space Flight Center, Greenbelt, MD 20771, USA"
High-Frequency Power Spectrum of AGN NGC 4051 Revealed by NICER,E. Kara,"MIT Kavli Institute for Astrophysics and Space Research, Massachusetts Institute of Technology, Cambridge, MA 02139, USA"
High-Frequency Power Spectrum of AGN NGC 4051 Revealed by NICER,S.-S. Lee,"Korea Astronomy and Space Science Institute, 776 Daedeokdae-ro, Yuseong-gu, Daejeon 30455, Korea"
High-Frequency Power Spectrum of AGN NGC 4051 Revealed by NICER,R. Mushotzky,"Department of Astronomy, University of Maryland, College Park, MD 20742, USA"

VEGA: Voids idEntification using Genetic Algorithm,Parsa Ghafour,"Department of Astronomy and High Energy Physics, Kharazmi University, 15719-14911, Tehran, Iran"
VEGA: Voids idEntification using Genetic Algorithm,Saeed Tavasoli,"Department of Astronomy and High Energy Physics, Kharazmi University, 15719-14911, Tehran, Iran"
VEGA: Voids idEntification using Genetic Algorithm,Mohammad Reza Shojaei,"Department of Astronomy and High Energy Physics, Kharazmi University, 15719-14911, Tehran, Iran"

