Keyword,Citations_per_Paper
high-redshift galaxies,7.14
reionization,4.88
supermassive black holes,3.86
galaxy evolution,3.62
black holes,3.58
supernovae,3.32
cosmology,3.12
protoplanetary disks,3.02
galaxies,3.01
surveys,3.0
galaxies active,2.81
gravitational waves,2.44
star formation,2.44
methods numerical,2.42
spectroscopy,2.42
gamma-ray bursts,2.37
neutron stars,2.36
dark matter,2.25
astrochemistry,2.23
exoplanets,2.18
accretion,2.1
interstellar medium,2.04
methods data analysis,2.03
high energy astrophysics,1.9
active galactic nuclei,1.88
