Keyword,Citations_per_Paper_aac,Citations_per_Paper_jac,Citations_per_Paper_ejac,Citations_per_Paper_eaac
high-redshift galaxies,7.14,8.87,6.05,4.59
reionization,4.88,6.92,4.36,3.07
supermassive black holes,3.86,4.22,2.8,2.53
galaxy evolution,3.62,3.87,2.51,2.27
black holes,3.58,3.86,2.61,2.42
supernovae,3.32,4.13,3.01,2.41
cosmology,3.12,4.21,2.91,2.13
protoplanetary disks,3.02,2.52,1.44,1.48
galaxies,3.01,3.33,2.17,1.92
surveys,3.0,3.61,2.24,1.78
galaxies active,2.81,2.87,1.75,1.72
gravitational waves,2.44,2.77,1.99,1.76
star formation,2.44,2.64,1.8,1.63
methods numerical,2.42,2.91,2.01,1.63
spectroscopy,2.42,2.69,1.7,1.41
gamma-ray bursts,2.37,2.57,1.65,1.58
neutron stars,2.36,2.41,1.79,1.82
dark matter,2.25,3.0,1.97,1.45
astrochemistry,2.23,2.17,1.48,1.5
exoplanets,2.18,2.75,1.96,1.55
accretion,2.1,2.28,1.52,1.45
interstellar medium,2.04,2.13,1.39,1.32
methods data analysis,2.03,2.11,1.45,1.35
high energy astrophysics,1.9,2.39,1.78,1.47
active galactic nuclei,1.88,2.0,1.28,1.23
