Keyword,Citations_per_Paper
high-redshift galaxies,4.59
reionization,3.07
supermassive black holes,2.53
black holes,2.42
supernovae,2.41
galaxy evolution,2.27
cosmology,2.13
galaxies,1.92
neutron stars,1.82
surveys,1.78
gravitational waves,1.76
galaxies active,1.72
methods numerical,1.63
star formation,1.63
gamma-ray bursts,1.58
exoplanets,1.55
astrochemistry,1.5
protoplanetary disks,1.48
high energy astrophysics,1.47
dark matter,1.45
accretion,1.45
spectroscopy,1.41
methods data analysis,1.35
interstellar medium,1.32
active galactic nuclei,1.23
