Keyword,Citations_per_Paper
high-redshift galaxies,6.05
reionization,4.36
supernovae,3.01
cosmology,2.91
supermassive black holes,2.8
black holes,2.61
galaxy evolution,2.51
surveys,2.24
galaxies,2.17
methods numerical,2.01
gravitational waves,1.99
dark matter,1.97
exoplanets,1.96
star formation,1.8
neutron stars,1.79
high energy astrophysics,1.78
galaxies active,1.75
spectroscopy,1.7
gamma-ray bursts,1.65
accretion,1.52
astrochemistry,1.48
methods data analysis,1.45
protoplanetary disks,1.44
interstellar medium,1.39
active galactic nuclei,1.28
