title,month,id
Distribution of regularized three-body phase-volume,2025-01,2501.02013
"Magnetic Field Data Calibration with Transformer Model Using Physical Constraints: A Scalable Method for Satellite Missions, Illustrated by Tianwen-1",2025-01,2501.00020
"Scalar, Vector Perturbations and Effective Hawking Radiation of Cylindrical Black Holes in $f(\mathcal{R})$ and Ricci-Inverse Gravity",2025-01,2501.00060
Scattering of wave dark matter by supermassive black holes,2025-01,2501.00090
Bayesian analysis of hybrid neutron star EOS constraints within an instantaneous nonlocal chiral quark matter model,2025-01,2501.00115
Reexamination of nuclear structure properties and shape coexistence of nuclei around A70,2025-01,2501.00387
Topological Leptogenesis,2025-01,2501.00607
Uncertainties in tellurium-based dark matter searches stemming from nuclear structure uncertainties,2025-01,2501.00621
Astrophysical Black holes: An Explanation for the Galaxy Quenching,2025-01,2501.00899
Forecast constraints on the axion-photon coupling from interstellar medium heating,2025-01,2501.00992
Prediction of Geoeffective CMEs Using SOHO Images and Deep Learning,2025-01,2501.01011
Impact of QCD sum rules coupling constants on neutron stars structure,2025-01,2501.01234
Gravitational waves from color restoration in a leptoquark model of radiative neutrino masses,2025-01,2501.01286
Influence of Quantum Correction on Kerr Black Hole in Effective Loop Quantum Gravity via Shadows and EHT Results,2025-01,2501.01308
Post-adiabatic waveform-generation framework for asymmetric precessing binaries,2025-01,2501.01413
The Effects of Anthropogenic Air and Light Pollution on Astrophysics and Society,2025-01,2501.01452
Sub-MHz Radio Background from Ultralight Dark Photon Dark Matter,2025-01,2501.01489
Gravitational Waves of GUT Phase Transition during Inflation,2025-01,2501.01491
Maximum force conjecture in curved spacetimes of stable self-gravitating matter configurations,2025-01,2501.01497
Gravitational Wave Mountains: current-carrying domain walls,2025-01,2501.01542
Gravitational Wave Scattering From the Sun and Planets,2025-01,2501.01585
Constraining eV-scale axion-like particle dark matter: insights from the M87 Galaxy,2025-01,2501.01860
QCD Phase Diagram and Astrophysical Implications,2025-01,2501.01907
Constraining the Gravitational Wave Speed in the Early Universe via Gravitational Cherenkov Radiation,2025-01,2501.01910
Enabling Strong Neutrino Self-interaction with an Unparticle Mediator,2025-01,2501.02049
Search for continuous gravitational wave signals from luminous dark photon superradiance clouds with LVK O3 observations,2025-01,2501.02052
A sufficient condition for the development of superradiant instabilities in charged black-hole spacetimes,2025-01,2501.02053
Parity-doubled nucleons can rapidly cool neutron stars,2025-01,2501.02055
Role of internal space correlations in the dynamics of a higher-dimensional Bianchi type-I universe: shear scalar and Hubble parameter perspectives,2025-01,2501.02109
The Massive Flat Space Limit of Cosmological Correlators,2025-01,2501.02119
Dynamical de Sitter conjecture and quintessence,2025-01,2501.02258
Constraining electromagnetic couplings of ultralight scalars from compact stars,2025-01,2501.02286
Proton Radiation Damage and Annealing of COSI p-type Cross-strip HPGe Detectors,2025-01,2501.02412
Evolutions of in-medium baryon-baryon scattering cross sections and stiffness of dense nuclear matter from Bayesian analyses of FOPI proton flow excitation functions,2025-01,2501.02579
First result from tetrafluoroethane (C$_2$H$_2$F$_4$) superheated emulsion detector for dark matter search at JUSL,2025-01,2501.02833
Cosmological perturbation theory with trinity of scalar fields,2025-01,2501.02991
Eastward Transients in the Dayside Ionosphere II: A Parallel-plate Capacitor-Like Effect,2025-01,2501.03174
Neutrino energy and momentum emission from magnetized dense quark matter,2025-01,2501.03318
Complementarity between Cosmic String Gravitational Waves and long-lived particle searches in a laboratory,2025-01,2501.03326
Effective field theories for dark matter pairs in the early universe: Debye mass effects,2025-01,2501.03327
Observations of Turbulence and Particle Transport at Interplanetary Shocks: Transition of Transport Regimes,2025-01,2501.03648
Generally relativistic description of fast magnetic reconnection induced by thermal electromotive force,2025-01,2501.04019
Axion misalignment with memory-burdened PBH,2025-01,2501.04076
Scalable Discovery of Fundamental Physical Laws: Learning Magnetohydrodynamics from 3D Turbulence Data,2025-01,2501.04094
A Characteristic Signature of Magnetospheric Wave-Particle Interactions Found in the Turbulent E-region,2025-01,2501.04107
"Galaxy dynamics, gravitational Vlasov-Poisson system, Landau damping, and scattering theory",2025-01,2501.04175
Corrections to the Black hole entropy from a Bose Einstein condensate: a semi-classical phenomenological approach,2025-01,2501.04358
Periodic orbits and their gravitational wave radiations around the Schwarzschild-MOG black hole,2025-01,2501.04367
Eccentricity Effects on Modeling Dynamic Quantities and Their Correlations in Binary Black Hole Mergers,2025-01,2501.04495
Cosmological scalar perturbations in Horndeski-like gravity,2025-01,2501.04524
The MBTA Pipeline for Detecting Compact Binary Coalescences in the Fourth LIGO-Virgo-KAGRA Observing Run,2025-01,2501.04598
Kerr black hole parameters and its distance from the Earth in terms of directly measurable quantities of accretion disk,2025-01,2501.04677
Cosmic deceptions due to peculiar motions,2025-01,2501.04680
Dark Matter Ultraviolet Freeze-in in General Reheating Scenarios,2025-01,2501.04774
Using Data Science in High School Astronomy,2025-01,2501.04856
Coherence DeepClean: Toward autonomous denoising of gravitational-wave detector data,2025-01,2501.04883
Many body gravity and the bullet cluster,2025-01,2501.05126
Rigorous analytic solution to the gravitational-wave overlapping event rates,2025-01,2501.05218
