Keyword,Citations_per_Paper_aac,Citations_per_Paper_jac,Citations_per_Paper_ejac,Citations_per_Paper_eaac
high-redshift galaxies,7.08,8.87,6.05,4.55
reionization,4.83,6.92,4.36,3.03
supermassive black holes,3.78,4.19,2.78,2.48
galaxy evolution,3.59,3.84,2.48,2.25
black holes,3.53,3.86,2.6,2.39
cosmology,3.08,4.17,2.88,2.1
protoplanetary disks,3.02,2.52,1.44,1.48
galaxies,2.98,3.3,2.15,1.89
surveys,2.96,3.55,2.2,1.76
galaxies active,2.77,2.84,1.73,1.7
numerical methods,2.4,2.92,1.9,1.51
star formation,2.4,2.6,1.78,1.6
gravitational waves,2.39,2.75,1.97,1.72
spectroscopy,2.38,2.64,1.67,1.39
gamma-ray bursts,2.31,2.55,1.63,1.54
neutron stars,2.28,2.34,1.74,1.75
astrochemistry,2.22,2.16,1.47,1.5
dark matter,2.2,3.0,1.97,1.42
exoplanets,2.14,2.75,1.96,1.51
accretion,2.08,2.24,1.5,1.43
interstellar medium,2.01,2.09,1.36,1.3
hydrodynamics,1.96,2.27,1.6,1.37
data analysis,1.88,1.95,1.3,1.21
active galactic nuclei,1.84,1.97,1.26,1.21
high energy astrophysics,1.84,2.36,1.75,1.42
