Keyword,Citations_per_Paper
high-redshift galaxies,8.87
reionization,6.92
supermassive black holes,4.19
cosmology,4.17
black holes,3.86
galaxy evolution,3.84
surveys,3.55
galaxies,3.3
dark matter,3.0
numerical methods,2.92
galaxies active,2.84
exoplanets,2.75
gravitational waves,2.75
spectroscopy,2.64
star formation,2.6
gamma-ray bursts,2.55
protoplanetary disks,2.52
high energy astrophysics,2.36
neutron stars,2.34
hydrodynamics,2.27
accretion,2.24
astrochemistry,2.16
interstellar medium,2.09
active galactic nuclei,1.97
data analysis,1.95
