Telescope,AAC,EAAC,JAC,EJAC
Einstein Probe,5.84,3.59,7.14,4.11
JWST,5.13,3.34,6.02,3.99
XRISM,4.19,2.37,4.62,2.55
LIGO,3.97,3.02,6.69,5.21
Keck,3.87,2.6,3.81,2.61
SDSS,3.82,2.9,4.88,3.91
SPHEREx,3.79,3.12,2.21,1.5
Spitzer,3.25,2.06,3.95,2.52
Euclid,3.19,1.89,3.99,2.59
ALMA,3.09,1.72,3.04,1.77
HXMT,2.79,1.91,3.72,2.53
VLT,2.65,1.64,2.55,1.53
HST,2.61,1.59,2.44,1.5
Rubin,2.51,1.65,3.23,2.09
LISA,2.49,1.85,3.48,2.56
NICER,2.31,1.62,2.92,1.97
DAMPE,2.31,2.23,1.0,1.0
RST,2.19,1.19,2.83,1.5
Subaru,1.88,1.04,2.34,1.3
Swift,1.81,1.26,1.95,1.37
Zwicky,1.77,1.11,2.05,1.3
CSST,1.75,0.74,1.18,0.68
XMM-Newton,1.75,1.28,1.71,1.21
IXPE,1.74,0.84,2.07,0.94
GAIA,1.7,1.19,1.93,1.37
FAST,1.58,0.92,1.75,0.99
Fermi,1.51,1.07,1.81,1.25
CHEOPS,1.48,0.9,1.35,0.65
Chandra,1.44,1.01,1.6,1.14
IRIS,1.4,0.83,1.48,0.86
NuSTAR,1.38,0.86,1.69,1.06
TESS,1.36,0.92,1.53,1.03
SVOM,1.21,0.68,1.5,1.0
XPoSat,0.75,0.0,0.67,0.0
AstroSat,0.67,0.4,0.52,0.26
INTEGRAL,0.54,0.42,0.73,0.67
CALCET,0.0,0.0,0.0,0.0
CUTE,0.0,0.0,0.0,0.0
