title,ads_bibcode,affiliations,total_citations,non_self_citations,status
Insights on Galaxy Evolution from Interpretable Sparse Feature Networks,2025ApJ...980..183W,"Wu, John F.: Space Telescope Science Institute, 3700 San Martin Dr, Baltimore, MD 21218, USA; Department of Physics &amp; Astronomy, Johns Hopkins University, 3400 N Charles St, Baltimore, MD 21218, USA; Department of Computer Science, Johns Hopkins University, 3400 N Charles St, Baltimore, MD 21218, USA",3,1,success
X-ray reverberation black hole mass and distance estimates of Cygnus X-1,2025arXiv250112788O,,0,0,success
The TES-based Cryogenic AntiCoincidence Detector of ATHENA X-IFU: Validation of the thermal end-to-end simulator towards the updated Demonstration Model (DM 1.1),2025ITAS...3534160D,"D'Andrea, Matteo: INAF/IAPS, 00133, Rome, Italy;; Macculi, Claudio: INAF/IAPS, 00133, Rome, Italy;; Lotti, Simone: INAF/IAPS, 00133, Rome, Italy;; Piro, Luigi: INAF/IAPS, 00133, Rome, Italy; Argan, Andrea: INAF Headquarters, 00136, Rome, Italy; Minervini, Gabriele: INAF Headquarters, 00136, Rome, Italy; Torrioli, Guido: CNR/IFN Roma, 00133, Rome, Italy; Chiarello, Fabio: CNR/IFN Roma, 00133, Rome, Italy;; Ferrari Barusso, Lorenzo: University of Genoa (Phys Dept.), 16146, Genoa, Italy; INFN Genova, 16146, Genoa, Italy;; Celasco, Edvige: University of Genoa (Phys Dept.), 16146, Genoa, Italy; INFN Genova, 16146, Genoa, Italy; Gatti, Flavio: University of Genoa (Phys Dept.), 16146, Genoa, Italy; INFN Genova, 16146, Genoa, Italy;; Grosso, Daniele: University of Genoa (Phys Dept.), 16146, Genoa, Italy; INFN Genova, 16146, Genoa, Italy;; Rigano, Manuela: University of Genoa (Phys Dept.), 16146, Genoa, Italy; INFN Genova, 16146, Genoa, Italy; Brienza, Daniele: ASI, Via del Politecnico snc, 00133, Rome, Italy; Cavazzuti, Elisabetta: ASI, Via del Politecnico snc, 00133, Rome, Italy; Volpe, Angela: ASI, Via del Politecnico snc, 00133, Rome, Italy",1,0,success
Massive star clusters in the gamma-ray sky: the role of HII regions,2025arXiv250112767P,,0,0,success
The Impact of Bar-induced Non-Circular Motions on the Measurement of Galactic Rotation Curves,2025ApJ...980..146L,"Liu, Jie: Shanghai Astronomical Observatory, Chinese Academy of Sciences, 80 Nandan Road, Shanghai 200030, People's Republic of China; School of Astronomy and Space Sciences, University of Chinese Academy of Sciences, 19A Yuquan Road, Beijing 100049, People's Republic of China; Li, Zhi: Shanghai Key Lab for Astrophysics, Shanghai Normal University, 100 Guilin Road, Shanghai 200234, People's Republic of China; Department of Astronomy, School of Physics and Astronomy, Shanghai Jiao Tong University, 800 Dongchuan Road, Shanghai 200240, People's Republic of China; Shen, Juntai: Department of Astronomy, School of Physics and Astronomy, Shanghai Jiao Tong University, 800 Dongchuan Road, Shanghai 200240, People's Republic of China; State Key Laboratory of Dark Matter Physics, School of Physics and Astronomy, Shanghai Jiao Tong University, Shanghai 200240, People's Republic of China",4,3,success
A Study of Subsurface Convection Zones of Fast Rotating Massive Stars,2025RAA....25c5002H,"He, Xiaolong: School of Physical Science and Technology, Xinjiang University, Urumqi 830046, China; Xinjiang Astronomical Observatory, Chinese Academy of Sciences, Urumqi 830011, China; Lü, Guoliang: School of Physical Science and Technology, Xinjiang University, Urumqi 830046, China; Xinjiang Astronomical Observatory, Chinese Academy of Sciences, Urumqi 830011, China; Zhu, Chunhua: School of Physical Science and Technology, Xinjiang University, Urumqi 830046, China; Li, Lin: School of Physical Science and Technology, Xinjiang University, Urumqi 830046, China; Liu, Helei: School of Physical Science and Technology, Xinjiang University, Urumqi 830046, China; Guo, Sufen: School of Physical Science and Technology, Xinjiang University, Urumqi 830046, China; Lu, Xizhen: School of Physical Science and Technology, Xinjiang University, Urumqi 830046, China; Li, Lei: School of Physical Science and Technology, Xinjiang University, Urumqi 830046, China; Wang, Hao: School of Physical Science and Technology, Xinjiang University, Urumqi 830046, China",1,0,success
Large discrepancies in error estimates for reverberation times derived from light curves of active galactic nuclei,2024A&AT...34..221G,"Gaskell, C. M.: Department of Astronomy and Astrophysics, University of California, Santa Cruz, CA 95064, USA",0,0,success
Fast Bayesian spectral analysis using Convolutional Neural Networks: Applications over GONG H$\alpha$ solar data,2025A&A...694A.237C,"Castelló, G.: Departament de Física, Universitat de les Illes Balears (UIB), 07122, Palma de Mallorca, Spain; Institute of Applied Computing &amp; Community Code (IAC3), UIB, 07122, Palma de Mallorca, Spain;; Luna, M.: Departament de Física, Universitat de les Illes Balears (UIB), 07122, Palma de Mallorca, Spain; Institute of Applied Computing &amp; Community Code (IAC3), UIB, 07122, Palma de Mallorca, Spain;; Terradas, J.: Departament de Física, Universitat de les Illes Balears (UIB), 07122, Palma de Mallorca, Spain; Institute of Applied Computing &amp; Community Code (IAC3), UIB, 07122, Palma de Mallorca, Spain;",1,1,success
Magnetic fields limit the mass of Population III stars even before the onset of protostellar radiation feedback,2025MNRAS.541L...1S,"Sharda, Piyush: Leiden Observatory, Leiden University, PO Box 9513, NL-2300 RA Leiden, the Netherlands;; Menon, Shyam H.: Department of Physics and Astronomy, Rutgers University, Piscataway, NJ 08854, USA; Center for Computational Astrophysics, Flatiron Institute, New York, NY 10010, USA;; Gerasimov, Roman: Department of Physics and Astronomy, University of Notre Dame, Notre Dame, IN 46556, USA;; Bromm, Volker: Department of Astronomy, University of Texas, Austin, TX 78712, USA; Weinberg Institute for Theoretical Physics, University of Texas, Austin, TX 78712, USA;; Burkhart, Blakesley: Department of Physics and Astronomy, Rutgers University, Piscataway, NJ 08854, USA; Center for Computational Astrophysics, Flatiron Institute, New York, NY 10010, USA;; Haemmerlé, Lionel: Department of Astronomy, University of Geneva, CH-1290 Versoix, Switzerland;; van Veenen, Lisanne: Leiden Observatory, Leiden University, PO Box 9513, NL-2300 RA Leiden, the Netherlands;; Wibking, Benjamin D.: Department of Physics and Astronomy, Michigan State University, East Lansing, MI 48824, USA;",4,1,success
IXPE observations of supernova remnants,2023VMSAI...2...32F,"Ferrazzoli, Riccardo: INAF",0,0,success
SF2A Environmental Transition Commission: What kind of astrophysics research for a sustainable world?,2024sf2a.conf..295C,,0,0,success
A Synthetic Population of Ultra-Luminous X-ray Sources: Optical-X-ray Correlation,2025A&A...695A...8N,"Nyadzani, Lutendo: Centre for Astro-Particle Physics (CAPP) and Department of Physics, University of Johannesburg, PO Box 524, Auckland Park, 2006, South Africa;; Razzaque, Soebur: Centre for Astro-Particle Physics (CAPP) and Department of Physics, University of Johannesburg, PO Box 524, Auckland Park, 2006, South Africa; Department of Physics, The George Washington University, Washington, DC, 20052, USA; National Institute for Theoretical and Computational Sciences (NITheCS), Private Bag X1, Matieland, South Africa;; Finke, Justin D.: U.S. Naval Research Laboratory, Code 7653, 4555 Overlook Ave. SW, Washington, DC, 20375-5352, USA;",0,0,success
Radio and Optical Properties of the blazar PKS 1614+051 at z=3.21,2024AstBu..79..548S,"Sotnikova, Yu. V.: Special Astrophysical Observatory, Russian Academy of Sciences, 369167, Nizhnii Arkhyz, Russia ; Kazan (Volga Region) Federal University, 420008, Kazan, Russia; Mikhailov, A. G.: Special Astrophysical Observatory, Russian Academy of Sciences, 369167, Nizhnii Arkhyz, Russia; Volvach, A. E.: Crimean Astrophysical Observatory, Russian Academy of Sciences, 298409, Nauchny, Russia; Kudryavtsev, D. O.: Special Astrophysical Observatory, Russian Academy of Sciences, 369167, Nizhnii Arkhyz, Russia; Mufakharov, T. V.: Special Astrophysical Observatory, Russian Academy of Sciences, 369167, Nizhnii Arkhyz, Russia ; Kazan (Volga Region) Federal University, 420008, Kazan, Russia; Vlasyuk, V. V.: Special Astrophysical Observatory, Russian Academy of Sciences, 369167, Nizhnii Arkhyz, Russia; Khabibullina, M. L.: Special Astrophysical Observatory, Russian Academy of Sciences, 369167, Nizhnii Arkhyz, Russia; Kudryashova, A. A.: Special Astrophysical Observatory, Russian Academy of Sciences, 369167, Nizhnii Arkhyz, Russia; Mingaliev, M. G.: Special Astrophysical Observatory, Russian Academy of Sciences, 369167, Nizhnii Arkhyz, Russia ; Kazan (Volga Region) Federal University, 420008, Kazan, Russia; Erkenov, A. K.: Special Astrophysical Observatory, Russian Academy of Sciences, 369167, Nizhnii Arkhyz, Russia; Kovalev, Yu. A.: Astro Space Center, Lebedev Physical Institute, Russian Academy of Sciences, 117997, Moscow, Russia; Kovalev, Y. Y.: Max Planck Institute for Radio Astronomy, 53121, Bonn, Germany; Kharinov, M. A.: Institute of Applied Astronomy, Russian Academy of Sciences, 191187, St. Petersburg, Russia; Semenova, T. A.: Special Astrophysical Observatory, Russian Academy of Sciences, 369167, Nizhnii Arkhyz, Russia; Udovitskiy, R. Yu.: Special Astrophysical Observatory, Russian Academy of Sciences, 369167, Nizhnii Arkhyz, Russia; Bursov, N. N.: Special Astrophysical Observatory, Russian Academy of Sciences, 369167, Nizhnii Arkhyz, Russia; Trushkin, S. A.: Special Astrophysical Observatory, Russian Academy of Sciences, 369167, Nizhnii Arkhyz, Russia; Spiridonova, O. I.: Special Astrophysical Observatory, Russian Academy of Sciences, 369167, Nizhnii Arkhyz, Russia; Popkov, A. V.: Moscow Institute of Physics and Technology, 141700, Dolgoprudny, Russia ; Astro Space Center, Lebedev Physical Institute, Russian Academy of Sciences, 117997, Moscow, Russia; Tsybulev, P. G.: Special Astrophysical Observatory, Russian Academy of Sciences, 369167, Nizhnii Arkhyz, Russia; Volvach, L. N.: Crimean Astrophysical Observatory, Russian Academy of Sciences, 298409, Nauchny, Russia; Nizhelsky, N. A.: Special Astrophysical Observatory, Russian Academy of Sciences, 369167, Nizhnii Arkhyz, Russia; Zhekanis, G. V.: Special Astrophysical Observatory, Russian Academy of Sciences, 369167, Nizhnii Arkhyz, Russia; Iuzhanina, K. V.: Special Astrophysical Observatory, Russian Academy of Sciences, 369167, Nizhnii Arkhyz, Russia ; Kazan (Volga Region) Federal University, 420008, Kazan, Russia",1,1,success
