Telescope,AAC,EAAC,JAC,EJAC
Einstein Probe,5.93,3.63,7.31,4.2
JWST,5.43,3.56,6.21,4.11
SDSS,4.83,3.82,6.73,5.5
Keck,4.37,3.07,4.0,2.76
LIGO,4.28,3.3,7.78,6.1
XRISM,4.19,2.37,4.62,2.55
SPHEREx,4.17,3.43,2.58,1.75
DAMPE,3.86,2.66,4.48,3.18
TESS,3.79,3.17,2.87,2.31
IRIS,3.62,2.31,4.74,3.04
Euclid,3.57,2.17,4.23,2.99
ALMA,3.24,1.66,3.06,1.71
Vera C. Rubin Observatory,3.09,1.67,3.83,1.78
HXMT,2.96,2.0,4.1,2.73
VLT,2.81,1.75,2.83,1.69
CUTE,2.71,1.65,2.79,1.71
LISA,2.46,1.87,2.66,1.9
LSST,2.42,1.61,2.94,1.88
NICER,2.41,1.75,3.52,2.52
INTEGRAL,2.18,1.32,2.4,1.73
GLIDE,2.0,2.0,2.0,2.0
Spitzer,1.89,1.33,2.14,1.49
HST,1.89,1.2,2.12,1.29
ZWICKY,1.87,1.16,2.4,1.42
IXPE,1.81,0.87,2.16,0.96
Swift,1.8,1.17,1.85,1.17
GAIA,1.78,1.2,1.99,1.37
Subaru,1.73,1.05,2.0,1.27
XMM-Newton,1.5,1.09,1.33,0.9
CHEOPS,1.48,0.9,1.35,0.65
Chandra,1.38,0.95,1.52,1.05
Fermi,1.32,0.94,1.49,1.05
NuSTAR,1.22,0.74,1.56,0.96
SVOM,1.0,0.62,1.5,1.0
XPoSat,0.75,0.0,0.67,0.0
AstroSat,0.73,0.42,0.67,0.36
